province;red;green;blue;x;x
1;2;1;1;NAME;x
2;3;1;1;NAME;x
3;4;1;1;NAME;x
4;5;1;1;NAME;x
5;6;1;1;NAME;x
6;7;1;1;NAME;x
7;8;1;1;NAME;x
8;9;1;1;NAME;x
9;10;1;1;NAME;x
10;11;1;1;NAME;x
11;12;1;1;NAME;x
12;13;1;1;NAME;x
13;14;1;1;NAME;x
14;15;1;1;NAME;x
15;16;1;1;NAME;x
16;17;1;1;NAME;x
17;18;1;1;NAME;x
18;19;1;1;NAME;x
19;20;1;1;NAME;x
20;21;1;1;NAME;x
21;22;1;1;NAME;x
22;23;1;1;NAME;x
23;24;1;1;NAME;x
24;25;1;1;NAME;x
25;26;1;1;NAME;x
26;27;1;1;NAME;x
27;28;1;1;NAME;x
28;29;1;1;NAME;x
29;30;1;1;NAME;x
30;31;1;1;NAME;x
31;32;1;1;NAME;x
32;33;1;1;NAME;x
33;34;1;1;NAME;x
34;35;1;1;NAME;x
35;36;1;1;NAME;x
36;37;1;1;NAME;x
37;38;1;1;NAME;x
38;39;1;1;NAME;x
39;40;1;1;NAME;x
40;41;1;1;NAME;x
41;42;1;1;NAME;x
42;43;1;1;NAME;x
43;44;1;1;NAME;x
44;45;1;1;NAME;x
45;46;1;1;NAME;x
46;47;1;1;NAME;x
47;48;1;1;NAME;x
48;49;1;1;NAME;x
49;50;1;1;NAME;x
50;51;1;1;NAME;x
51;52;1;1;NAME;x
52;53;1;1;NAME;x
53;54;1;1;NAME;x
54;55;1;1;NAME;x
55;56;1;1;NAME;x
56;57;1;1;NAME;x
57;58;1;1;NAME;x
58;59;1;1;NAME;x
59;60;1;1;NAME;x
60;61;1;1;NAME;x
61;62;1;1;NAME;x
62;63;1;1;NAME;x
63;64;1;1;NAME;x
64;65;1;1;NAME;x
65;66;1;1;NAME;x
66;67;1;1;NAME;x
67;68;1;1;NAME;x
68;69;1;1;NAME;x
69;70;1;1;NAME;x
70;71;1;1;NAME;x
71;72;1;1;NAME;x
72;73;1;1;NAME;x
73;74;1;1;NAME;x
74;75;1;1;NAME;x
75;76;1;1;NAME;x
76;77;1;1;NAME;x
77;78;1;1;NAME;x
78;79;1;1;NAME;x
79;80;1;1;NAME;x
80;81;1;1;NAME;x
81;82;1;1;NAME;x
82;83;1;1;NAME;x
83;84;1;1;NAME;x
84;85;1;1;NAME;x
85;86;1;1;NAME;x
86;87;1;1;NAME;x
87;88;1;1;NAME;x
88;89;1;1;NAME;x
89;90;1;1;NAME;x
90;91;1;1;NAME;x
91;92;1;1;NAME;x
92;93;1;1;NAME;x
93;94;1;1;NAME;x
94;95;1;1;NAME;x
95;96;1;1;NAME;x
96;97;1;1;NAME;x
97;98;1;1;NAME;x
98;99;1;1;NAME;x
99;100;1;1;NAME;x
100;101;1;1;NAME;x
101;102;1;1;NAME;x
102;103;1;1;NAME;x
103;104;1;1;NAME;x
104;105;1;1;NAME;x
105;106;1;1;NAME;x
106;107;1;1;NAME;x
107;108;1;1;NAME;x
108;109;1;1;NAME;x
109;110;1;1;NAME;x
110;111;1;1;NAME;x
111;112;1;1;NAME;x
112;113;1;1;NAME;x
113;114;1;1;NAME;x
114;115;1;1;NAME;x
115;116;1;1;NAME;x
116;117;1;1;NAME;x
117;118;1;1;NAME;x
118;119;1;1;NAME;x
119;120;1;1;NAME;x
120;121;1;1;NAME;x
121;122;1;1;NAME;x
122;123;1;1;NAME;x
123;124;1;1;NAME;x
124;125;1;1;NAME;x
125;126;1;1;NAME;x
126;127;1;1;NAME;x
127;128;1;1;NAME;x
128;129;1;1;NAME;x
129;130;1;1;NAME;x
130;131;1;1;NAME;x
131;132;1;1;NAME;x
132;133;1;1;NAME;x
133;134;1;1;NAME;x
134;135;1;1;NAME;x
135;136;1;1;NAME;x
136;137;1;1;NAME;x
137;138;1;1;NAME;x
138;139;1;1;NAME;x
139;140;1;1;NAME;x
140;141;1;1;NAME;x
