id,file,name,province,category,level,dot_size,status
14,history/states/14-State_14.txt,Central Northern Manitoba,5226,large_city,8,8,assigned
23,history/states/23-State_23.txt,Northern British Columbia,2988,large_city,8,10,assigned
6,history/states/6-State_6.txt,Northern Alberta,1907,large_city,8,12,assigned
9,history/states/9-State_9.txt,Quebec,1291,megalopolis,10,11,assigned
42,history/states/42-State_42.txt,Newfoundland,462,large_city,8,10,assigned
85,history/states/85-State_85.txt,"Edmonton, AB",1523,metropolis,9,27,assigned
62,history/states/62-State_62.txt,"Vancouver, BC",3653,metropolis,9,11,assigned
95,history/states/95-State_95.txt,"Saskatoon, SK",2498,city,6,11,assigned
137,history/states/137-State_137.txt,"North Puget Sound, WA",1685,city,6,10,assigned
145,history/states/145-State_145.txt,"Cape Breton Island, NS",160,city,6,10,assigned
152,history/states/152-State_152.txt,Prince Edward Island,1186,city,6,11,assigned
140,history/states/140-State_140.txt,"Northern Cascades, WA",1541,large_town,5,10,assigned
100,history/states/100-State_100.txt,"Winnipeg, MB",915,metropolis,9,10,assigned
141,history/states/141-State_141.txt,New Brunswick,4437,metropolis,9,11,assigned
36,history/states/36-State_36.txt,"Coeur d'Alene, ID",3944,town,4,10,assigned
69,history/states/69-State_69.txt,Ontario,3408,megalopolis,10,12,assigned
163,history/states/163-State_163.txt,Nova Scotia,5481,metropolis,9,10,assigned
184,history/states/184-State_184.txt,"St. John, NB",244,large_town,5,9,assigned
183,history/states/183-State_183.txt,"Southern Cascades, WA",2532,large_town,5,10,assigned
204,history/states/204-State_204.txt,"Billings, MT",2811,large_town,5,11,assigned
82,history/states/82-State_82.txt,"Minot, ND",4523,town,4,9,assigned
211,history/states/211-State_211.txt,"Phillipsburg, MT",1385,pastoral,2,11,assigned
603,history/states/603-State_603.txt,"Salem, OR",2485,city,6,10,assigned
12,history/states/12-State_12.txt,"Newberry, MI",4909,pastoral,2,11,assigned
269,history/states/269-State_269.txt,"Clearwater, MN",2841,pastoral,2,9,assigned
242,history/states/242-State_242.txt,"St. Lawrence, NY",5589,city,6,10,assigned
256,history/states/256-State_256.txt,"Hardin, MT",341,pastoral,2,12,assigned
268,history/states/268-State_268.txt,"Grafton, NH",4941,rural,3,9,assigned
288,history/states/288-State_288.txt,"Boise, ID",1788,city,6,10,assigned
300,history/states/300-State_300.txt,"Worchester, MA",5661,city,6,11,assigned
608,history/states/608-State_608.txt,"Minneapolis, MN",5660,large_city,8,7,assigned
1,history/states/1-State_1.txt,British Columbia,136,megalopolis,10,13,assigned
