id,file,name,owner,energy_factor,category,population,coastal,has_port,is_base,base_type,dam_sites,dam_province,reactor_sites,shared_slots,slot_budget,thermoelectric_plant,hydroelectric_plant,nuclear_reactor,schools,offices,hospitals,prisons,barracks,dockyard,radar_station,anti_air_building,missile_silo
1,history/states/1-State_1.txt,"Southern Ontario, ON",CAN,1.4,megalopolis,6899531,True,True,False,,,,,22,22,4,3,0,3,3,3,3,3,0,3,3,0
2,history/states/2-State_2.txt,"Hot Springs, AR",AMA,0.9,large_city,346988,False,False,False,,,,,8,16,1,0,0,2,1,2,1,1,0,0,0,0
3,history/states/3-State_3.txt,"Joplin, MO",USM,0.96,metropolis,614452,True,False,False,,Table Rock Dam,473,,10,20,2,0,0,2,1,2,2,1,0,1,0,0
4,history/states/4-State_4.txt,"Ponce, PR",PRC,0.97,large_city,550523,True,True,False,,,,,10,16,2,0,0,2,1,2,1,1,1,1,0,0
5,history/states/5-State_5.txt,"Mayaguez, PR",PRC,0.97,large_city,382164,True,True,False,,,,,10,16,2,0,0,2,1,2,1,1,1,0,0,0
6,history/states/6-State_6.txt,Northern Alberta,CAN,1.4,metropolis,899822,True,False,False,,,,,16,20,4,3,0,2,2,2,2,1,0,1,1,0
7,history/states/7-State_7.txt,"Arecibo, PR",PRC,0.97,metropolis,766175,True,True,False,,,,,14,20,3,0,0,2,2,2,2,1,2,1,1,0
8,history/states/8-State_8.txt,North Manitoba,CAN,1.4,large_town,1824,True,False,False,,,,,6,8,4,2,0,0,0,0,0,0,0,0,0,0
9,history/states/9-State_9.txt,Quebec,CAN,1.4,megalopolis,2790040,True,True,False,,,,,21,22,4,3,0,3,2,3,2,2,2,2,1,0
10,history/states/10-State_10.txt,Labrador,CAN,1.4,enclave,472,True,False,False,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,history/states/11-State_11.txt,"Floyd County, KY",TMA,1.11,large_city,473178,True,False,False,,,,,8,16,1,0,0,2,1,2,1,1,0,1,0,0
12,history/states/12-State_12.txt,"Newberry, MI",SPM,1.11,town,25205,True,False,False,,,,,2,6,2,0,0,0,0,0,0,0,0,0,0,0
13,history/states/13-State_13.txt,"Saint Ignace, MI",SPM,1.11,large_town,107407,True,False,False,,,,,6,8,3,0,0,1,0,1,1,0,0,0,0,0
14,history/states/14-State_14.txt,Central Northern Manitoba,CAN,1.4,large_town,28180,True,False,False,,,,,6,8,4,2,0,0,0,0,0,0,0,0,0,0
15,history/states/15-State_15.txt,"Springfield, MO",USM,0.96,metropolis,663343,True,False,False,,,,,10,20,2,0,0,2,1,2,2,1,0,1,0,0
