id,file,name,current_estimate,suggested_key,suggested_population,score
2,history/states/2-State_2.txt,"Hot Springs, AK",25000,"hot springs, ar",32462,0.933
20,history/states/20-State_20.txt,"Hopkins, KY",25000,"hopkinsville, ky",30089,0.815
44,history/states/44-State_44.txt,"El Dorado, AK",25000,"el dorado, ar",23646,0.923
47,history/states/47-State_47.txt,"Little Rock, AK",25000,"little rock, ar",183133,0.933
54,history/states/54-State_54.txt,"Ottumwa, IA",25000,"houma, la",32393,0.700
62,history/states/62-State_62.txt,"Vancouver, BC",25000,"vancouver, wa",143560,0.846
80,history/states/80-State_80.txt,"Wausau, WI",25000,"waukesha, wi",64825,0.818
84,history/states/84-State_84.txt,"Willis, ND",25000,"williston, nd",12512,0.870
85,history/states/85-State_85.txt,"Edmonton, AB",25000,"renton, wa",50052,0.727
86,history/states/86-State_86.txt,"De Witt, AK",25000,"de witt, ar",3647,0.909
93,history/states/93-State_93.txt,"Twin Islands, NU",25000,"staten island, ny",443728,0.727
95,history/states/95-State_95.txt,"Saskatoon, SK",25000,"saskatchewan, sk",990321,0.759
106,history/states/106-State_106.txt,"Pine Bluff, Ak",25000,"pine bluff, ar",55085,0.929
115,history/states/115-State_115.txt,"Charlton Island, NU",25000,"cape breton island, ns",147414,0.780
116,history/states/116-State_116.txt,"East Lansing, MI",25000,"lansing, mi",119128,0.815
124,history/states/124-State_124.txt,"Fort Smith, AK",25000,"fort smith, ar",80268,0.929
125,history/states/125-State_125.txt,"Twin Falls, ID",25000,"idaho falls, id",50730,0.759
133,history/states/133-State_133.txt,"Ionia, MI",25000,"livonia, mi",100545,0.900
150,history/states/150-State_150.txt,"Western Okanogan Highlands, WA",25000,"eastern okanogan highlands, wa",35000,0.967
171,history/states/171-State_171.txt,"Fayetteville, AK",25000,"fayetteville, ar",58047,0.938
174,history/states/174-State_174.txt,"Saint Francis, ME",25000,"saint francis, ks",1277,0.882
194,history/states/194-State_194.txt,"Conway, AK",25000,"conway, ar",43167,0.900
196,history/states/196-State_196.txt,"Phillips, AK",25000,"phillips, ar",26445,0.917
199,history/states/199-State_199.txt,"Clay, MN",25000,"cary, nc",94536,0.750
208,history/states/208-State_208.txt,"Alexandra, LA",25000,"alexandria, la",46342,0.963
211,history/states/211-State_211.txt,"Phillipsburg, MT",25000,"phillips, ar",26445,0.714
238,history/states/238-State_238.txt,"Alger, MI",25000,"taylor, mi",63131,0.737
241,history/states/241-State_241.txt,"Superior, WI",25000,"east superior, wy",3500,0.759
248,history/states/248-State_248.txt,"Grand Isle, VT",25000,"grand island, ne",42862,0.733
251,history/states/251-State_251.txt,"Hayward, WI",25000,"howard, in",84964,0.762
272,history/states/272-State_272.txt,"Iosco, MI",25000,"moscow, id",23391,0.737
282,history/states/282-State_282.txt,"Troy, NY",25000,"bronx, ny",1332650,0.706
290,history/states/290-State_290.txt,"Grand Traverse, MI",25000,"grand rapids, mi",197800,0.765
300,history/states/300-State_300.txt,"Worchester, MA",25000,"worcester, ma",172648,0.963
311,history/states/311-State_311.txt,"Murray, MN",25000,"murrayl, mn",36000,0.952
312,history/states/312-State_312.txt,"Huron, MI",25000,"huron, sd",11893,0.778
317,history/states/317-State_317.txt,"Mason, MI",25000,"madison, wi",208054,0.800
327,history/states/327-State_327.txt,"Windham, NY",25000,"windham, vt",43156,0.818
333,history/states/333-State_333.txt,"Hamburg, NY",25000,"auburn, ny",27687,0.762
336,history/states/336-State_336.txt,"Oakland, MI",25000,"oakland, ca",399484,0.818
345,history/states/345-State_345.txt,"Allegheny, PA",25000,"alleghany, md",24023,0.769
348,history/states/348-State_348.txt,"Detroit Metro, MI",25000,"detroit, mi",951270,0.786
349,history/states/349-State_349.txt,"Mason City, IA",25000,"sioux city, ia",85013,0.786
351,history/states/351-State_351.txt,"Kent, MI",25000,"kent, md",19197,0.875
354,history/states/354-State_354.txt,"Long Island, NY",25000,"staten island, ny",443728,0.750
356,history/states/356-State_356.txt,"McKean, PA",25000,"centre, pa",135758,0.700
