state_id,name,lat,lon,region_token,assoc_region_2,rule_used
1,British Columbia,43.5114,-80.6562,Assoc_Region_British_Columbia,,canada_name
2,"Hot Springs, AR",34.2164,-92.7249,Assoc_Region_Arkansas,,us_state_abbr
3,"Joplin, MO",37.0591,-93.5939,Assoc_Region_Missouri,,us_state_abbr
4,"Ponce, PR",18.1764,-66.7556,Assoc_Region_Puerto_Rico,,puerto_rico_abbr
5,"Mayaguez, PR",18.2162,-67.1874,Assoc_Region_Puerto_Rico,,puerto_rico_abbr
6,Northern Alberta,36.6162,-88.3171,Assoc_Region_Alberta,,canada_name
7,"Arecibo, PR",18.4190,-66.7009,Assoc_Region_Puerto_Rico,,puerto_rico_abbr
8,North Manitoba,42.6885,-77.6435,Assoc_Region_Manitoba,,canada_name
9,Quebec,49.5021,-67.9494,Assoc_Region_Quebec,,canada_name
10,Labrador,49.3840,-54.5519,Assoc_Region_Newfoundland_and_Labrador,,canada_name
11,"Floyd County, KY",38.0541,-83.1067,Assoc_Region_Kentucky,,us_state_abbr
12,"Newberry, MI",46.2708,-85.5848,Assoc_Region_Michigan,,us_state_abbr
13,"Saint Ignace, MI",46.1405,-84.4314,Assoc_Region_Michigan,,us_state_abbr
14,Central Northern Manitoba,44.8498,-82.3830,Assoc_Region_Manitoba,,canada_name
15,"Springfield, MO",37.2857,-92.4992,Assoc_Region_Missouri,,us_state_abbr
16,"Houghton, MI",46.4302,-88.6798,Assoc_Region_Michigan,,us_state_abbr
17,"Moresby Island, BC",31.9918,-100.9543,Assoc_Region_British_Columbia,,canada_name
18,"Shannon, MO",37.0654,-90.9359,Assoc_Region_Missouri,,us_state_abbr
19,"Evansville, IN",38.2466,-87.1116,Assoc_Region_Indiana,,us_state_abbr
20,"Hopkins, KY",37.5386,-87.3611,Assoc_Region_Kentucky,,us_state_abbr
21,"Bloomington, IN",39.0286,-86.7678,Assoc_Region_Indiana,,us_state_abbr
22,"Poplar Bluff, MO",37.1122,-89.7954,Assoc_Region_Missouri,,us_state_abbr
23,Northern British Columbia,34.8230,-99.4133,Assoc_Region_British_Columbia,,canada_name
24,"Louisville, KY",38.1074,-85.6908,Assoc_Region_Kentucky,,us_state_abbr
25,"St. Louis, MO",38.6270,-90.1994,Assoc_Region_Missouri,,us_state_abbr
26,World Border,33.7637,-132.9263,,,skipped_existing
27,"Harrisonville, MO",38.3461,-93.5643,Assoc_Region_Missouri,,us_state_abbr
28,"St. Joseph, MO",39.8433,-94.4128,Assoc_Region_Missouri,,us_state_abbr
29,"Adalair, MO",39.8262,-92.6405,Assoc_Region_Missouri,,us_state_abbr
30,Saint-Pierre-et-Miquelon,49.6980,-59.6992,Assoc_Region_Saint_Pierre_et_Miquelon,,canada_name
31,"Kidney Island, NU",48.1723,-66.3802,Assoc_Region_Nunavut,,canada_name
32,"Tupelo, MS",34.1107,-88.7856,Assoc_Region_Mississippi,,us_state_abbr
33,"Etowah, AL",34.1799,-86.1134,Assoc_Region_Alabama,,us_state_abbr
34,"Knox, IL",40.7748,-90.1637,Assoc_Region_Illinois,,us_state_abbr
35,"Howard, IN",40.4693,-85.9133,Assoc_Region_Indiana,,us_state_abbr
36,"Coeur d'Alene, ID",47.4231,-115.7239,Assoc_Region_Idaho,,us_state_abbr
37,"Kankakee, IL",40.8286,-88.2485,Assoc_Region_Illinois,,us_state_abbr
38,"Belcher Islands, NU",48.6298,-67.9911,Assoc_Region_Nunavut,,canada_name
39,"Christian, KY",36.9641,-87.2856,Assoc_Region_Kentucky,,us_state_abbr
40,Eastern Northern Manitoba,46.7395,-83.0363,Assoc_Region_Manitoba,,canada_name
41,"Peoria, IL",40.2349,-89.1415,Assoc_Region_Illinois,,us_state_abbr
42,Newfoundland,47.1570,-52.5278,Assoc_Region_Newfoundland_and_Labrador,,canada_name
43,"Oxford, MS",34.5172,-89.7305,Assoc_Region_Mississippi,,us_state_abbr
44,"El Dorado, AR",33.3540,-92.3134,Assoc_Region_Arkansas,,us_state_abbr
