id,file,name,current_manpower,estimated_population,estimate_source
2,history/states/2-State_2.txt,"Hot Springs, AK",25000,25000,city_fallback
4,history/states/4-State_4.txt,"Ponce, PR",303658,25000,city_fallback
5,history/states/5-State_5.txt,"Mayaguez, PR",2102000,25000,city_fallback
7,history/states/7-State_7.txt,"Arecibo, PR",25000,25000,city_fallback
12,history/states/12-State_12.txt,"Newberry, MI",25000,25000,city_fallback
13,history/states/13-State_13.txt,"Saint Ignace, MI",25000,25000,city_fallback
16,history/states/16-State_16.txt,"Houghton, MI",25000,25000,city_fallback
20,history/states/20-State_20.txt,"Hopkins, KY",25000,25000,city_fallback
31,history/states/31-State_31.txt,"Kidney Island, NU",10000,25000,city_fallback
38,history/states/38-State_38.txt,"Belcher Islands, NU",25000,25000,city_fallback
44,history/states/44-State_44.txt,"El Dorado, AK",25000,25000,city_fallback
47,history/states/47-State_47.txt,"Little Rock, AK",25000,25000,city_fallback
50,history/states/50-State_50.txt,"Guayama, PR",25000,25000,city_fallback
52,history/states/52-State_52.txt,"Platte, WI",25000,25000,city_fallback
54,history/states/54-State_54.txt,"Ottumwa, IA",25000,25000,city_fallback
62,history/states/62-State_62.txt,"Vancouver, BC",25000,25000,city_fallback
71,history/states/71-State_71.txt,"Land Between The Lakes, TN",25000,25000,city_fallback
78,history/states/78-State_78.txt,"Tippecanoe, IN",25000,25000,city_fallback
80,history/states/80-State_80.txt,"Wausau, WI",25000,25000,city_fallback
84,history/states/84-State_84.txt,"Willis, ND",25000,25000,city_fallback
85,history/states/85-State_85.txt,"Edmonton, AB",239452,25000,city_fallback
86,history/states/86-State_86.txt,"De Witt, AK",25000,25000,city_fallback
88,history/states/88-State_88.txt,"Vancouver Island, BC",10000,25000,city_fallback
92,history/states/92-State_92.txt,"Vaudreuil-Soulanges, QC",25000,25000,city_fallback
93,history/states/93-State_93.txt,"Twin Islands, NU",25000,25000,city_fallback
94,history/states/94-State_94.txt,"Kindersley, SK",25000,25000,city_fallback
95,history/states/95-State_95.txt,"Saskatoon, SK",25000,25000,city_fallback
100,history/states/100-State_100.txt,"Winnipeg, MB",25000,25000,city_fallback
104,history/states/104-State_104.txt,"Akimiski Island, NU",25000,25000,city_fallback
