lotd_state_id,name,lat,lon,nationality_id,culture_name,rule_used
1,British Columbia,43.5114,-80.6562,366,British Columbian,canada_name
2,"Hot Springs, AR",34.2164,-92.7249,83,Dixie,us_state_default
3,"Joplin, MO",37.0591,-93.5939,564,Missourian,us_state_default
4,"Ponce, PR",18.1764,-66.7556,90,Boricua,caribbean_name
5,"Mayaguez, PR",18.2162,-67.1874,90,Boricua,caribbean_name
6,Northern Alberta,36.6162,-88.3171,365,Western Canadian,canada_name
7,"Arecibo, PR",18.4190,-66.7009,90,Boricua,caribbean_name
8,North Manitoba,42.6885,-77.6435,365,Western Canadian,canada_name
9,Quebec,49.5021,-67.9494,93,Quebecois,canada_name
10,Labrador,49.3840,-54.5519,367,Newfoundlander,canada_name
11,"Floyd County, KY",38.0541,-83.1067,565,Appalachian,appalachian_ky
12,"Newberry, MI",46.2708,-85.5848,563,Steel Belt (IL/MI),us_state_default
13,"Saint Ignace, MI",46.1405,-84.4314,563,Steel Belt (IL/MI),us_state_default
14,Central Northern Manitoba,44.8498,-82.3830,365,Western Canadian,canada_name
15,"Springfield, MO",37.2857,-92.4992,564,Missourian,us_state_default
16,"Houghton, MI",46.4302,-88.6798,563,Steel Belt (IL/MI),us_state_default
17,"Moresby Island, BC",31.9918,-100.9543,366,British Columbian,canada_name
18,"Shannon, MO",37.0654,-90.9359,564,Missourian,us_state_default
19,"Evansville, IN",38.2466,-87.1116,85,Steel Belt,us_state_default
20,"Hopkins, KY",37.5386,-87.3611,565,Appalachian,us_state_default
21,"Bloomington, IN",39.0286,-86.7678,85,Steel Belt,us_state_default
22,"Poplar Bluff, MO",37.1122,-89.7954,564,Missourian,us_state_default
23,Northern British Columbia,34.8230,-99.4133,366,British Columbian,canada_name
24,"Louisville, KY",38.1074,-85.6908,565,Appalachian,appalachian_ky
25,"St. Louis, MO",38.6270,-90.1994,564,Missourian,us_state_default
26,World Border,33.7637,-132.9263,0,No Culture,world_border
27,"Harrisonville, MO",38.3461,-93.5643,564,Missourian,us_state_default
28,"St. Joseph, MO",39.8433,-94.4128,564,Missourian,us_state_default
29,"Adalair, MO",39.8262,-92.6405,564,Missourian,us_state_default
30,Saint-Pierre-et-Miquelon,49.6980,-59.6992,95,Maritimer,caribbean_name
31,"Kidney Island, NU",48.1723,-66.3802,94,Inuit,canada_name
32,"Tupelo, MS",34.1107,-88.7856,84,Dixie-African American,us_state_default
33,"Etowah, AL",34.1799,-86.1134,83,Dixie,us_state_default
34,"Knox, IL",40.7748,-90.1637,563,Steel Belt (IL/MI),us_state_default
35,"Howard, IN",40.4693,-85.9133,85,Steel Belt,us_state_default
36,"Coeur d'Alene, ID",47.4231,-115.7239,87,Frontier,us_state_default
37,"Kankakee, IL",40.8286,-88.2485,563,Steel Belt (IL/MI),us_state_default
38,"Belcher Islands, NU",48.6298,-67.9911,94,Inuit,canada_name
39,"Christian, KY",36.9641,-87.2856,565,Appalachian,us_state_default
40,Eastern Northern Manitoba,46.7395,-83.0363,365,Western Canadian,canada_name
41,"Peoria, IL",40.2349,-89.1415,563,Steel Belt (IL/MI),us_state_default
42,Newfoundland,47.1570,-52.5278,367,Newfoundlander,canada_name
43,"Oxford, MS",34.5172,-89.7305,84,Dixie-African American,us_state_default
44,"El Dorado, AR",33.3540,-92.3134,83,Dixie,us_state_default
45,Oklahoma,48.7539,-55.0262,570,Oklahoman,us_full_state_name
46,"Champaign, IL",39.3280,-87.9160,563,Steel Belt (IL/MI),us_state_default
47,"Little Rock, AR",34.6953,-92.3260,83,Dixie,us_state_default
48,"Woodward, OK",36.3269,-99.6182,570,Oklahoman,us_state_default
49,"Bowling Green, KY",37.0725,-86.1907,565,Appalachian,us_state_default
50,"Guayama, PR",18.2130,-66.0964,90,Boricua,caribbean_name
51,"Petersburg, IL",39.6681,-89.8964,563,Steel Belt (IL/MI),us_state_default
52,"Platte, WI",42.6090,-90.4230,85,Steel Belt,us_state_default
53,"Buncombe, NC",47.4410,-79.8199,567,Tidewater,us_state_default
54,"Ottumwa, IA",40.6888,-92.6434,337,Midwestern,us_state_default
