tag,name,population,authored_gdp_b,new_gdp_b,delta_pct,implied_scale,applied_scale,resynced,raw_gdp_b,est_power_demand,est_power_supply,power_deficit
ALB,Albany Government,1708299,3.59,3.59,0.0,0.3911,0.3911,False,9.178,32.3,40.0,-7.7
ALF,American Liberation Front,188585,0.999,0.999,0.0,1.5776,1.5771,False,0.633,6.0,15.0,-9.0
AMA,Arkansas Military Authority,3369267,3.025,3.025,0.0,0.1716,0.1716,False,17.629,55.1,65.0,-9.9
AMF,Administración Militar Texas,4919292,10.639,10.639,0.0,0.5117,0.5117,False,20.791,71.4,80.0,-8.6
AMO,Administración Militar Occidente,4022358,2.866,2.866,0.0,0.1678,0.1679,False,17.077,45.1,55.0,-9.9
BAH,Bahamas,572715,2.072,2.072,0.0,0.6411,0.641,False,3.232,12.2,20.0,-7.8
BAL,Baltimore Republic,2868932,6.397,6.397,0.0,0.4318,0.4317,False,14.816,43.7,52.0,-8.3
BAR,Boise Autonomous Region,1300181,1.517,1.517,0.0,0.2616,0.2617,False,5.799,24.6,35.0,-10.4
BIR,Birmingham Administration,2306062,2.904,2.904,0.0,0.3203,0.3203,False,9.066,39.7,50.0,-10.3
BRA,Boston Red Army,3842858,11.066,11.066,0.0,0.4857,0.4857,False,22.785,62.2,70.0,-7.8
CAN,Canada,26104560,467.202,467.202,0.0,1.9376,1.9376,False,241.121,1545.1,2170.0,-624.9
CFC,Central Florida Confederation,4756018,11.346,11.346,0.0,0.3386,0.3386,False,33.508,70.5,80.0,-9.5
CHA,Charlotte Administration,9364575,16.889,16.889,0.0,0.3738,0.3738,False,45.182,138.7,149.0,-10.3
CKC,Kansas City,3810191,3.622,3.622,0.0,0.2178,0.2178,False,16.629,53.4,60.0,-6.6
CMM,Canadian Mission in Maine,344153,6.826,6.826,0.0,4.0122,4.0123,False,1.701,26.5,35.0,-8.5
CPN,Commonwealth of Pennslyvania,528358,0.34,0.34,0.0,0.1606,0.1607,False,2.117,9.0,15.0,-6.0
CUB,Cuba,11227822,75.397,75.397,0.0,1.0431,1.0431,False,72.279,314.7,440.0,-125.3
DCO,District of Columbia,63147,3.846,3.846,0.0,15.8815,15.8816,False,0.242,13.5,20.0,-6.5
DET,City of Detroit,4906892,64.609,64.609,0.0,1.683,1.6829,False,38.39,223.8,200.0,23.8
DMA,Denver Military Authority,5868358,9.698,9.698,0.0,0.3017,0.3017,False,32.15,103.1,110.0,-6.9
DOM,Dominican Republic,8815001,28.838,28.838,0.0,0.4411,0.4411,False,65.376,164.5,230.0,-65.5
EFG,United States Emergency Federal Government,18900506,123.007,123.007,0.0,0.9994,0.9994,False,123.075,486.5,634.0,-147.5
ENG,British Virgin Islands,20000,0.133,0.133,0.0,2.1074,2.1111,False,0.063,0.9,10.0,-9.1
ERE,Lake Erie Military Authority,1006069,1.535,1.535,0.0,0.2838,0.2839,False,5.408,18.1,25.0,-6.9
FRA,Territorial Collectivity of Saint-Pierre and Miquelon,503,0.016,0.016,0.0,8.3708,8.3708,False,0.002,0.0,10.0,-10.0
GBR,Great Basin Republic,418912,0.072,0.072,0.0,0.0528,0.0528,False,1.363,7.2,15.0,-7.8
GCC,Gulf Coast Confederation,304230,5.192,5.192,0.0,3.5109,3.511,False,1.479,24.6,35.0,-10.4
HAI,Haiti,8499999,50.372,50.372,0.0,1.0306,1.0306,False,48.877,208.1,295.0,-86.9
HMA,Houston Military Authority,6209691,23.976,23.976,0.0,0.5646,0.5646,False,42.466,115.9,132.0,-16.1
HUD,Hudson Valley Association,3284761,4.384,4.384,0.0,0.189,0.189,False,23.194,36.7,47.0,-10.3
IMA,Indianapolis Military Authority,3511636,8.528,8.528,0.0,0.3731,0.3731,False,22.855,60.1,70.0,-9.9
ITH,Republic of Ithaca,937481,3.807,3.807,0.0,0.7653,0.7653,False,4.974,24.9,35.0,-10.1
JMA,Jacksonville Military Authority,634705,5.221,5.221,0.0,1.5702,1.5702,False,3.325,23.7,30.0,-6.3
LIS,Long Island Military Authority,2166316,16.574,16.574,0.0,1.0,1.0,True,16.574,59.2,50.0,9.2
LMA,North Texas Military Authority,982581,1.833,1.833,0.0,0.3967,0.3966,False,4.62,21.0,30.0,-9.0
MAR,Maine Republic,711380,0.271,0.271,0.0,0.0822,0.0823,False,3.295,8.8,15.0,-6.2
MCA,Massachusetts-Connecticut Authority,1711835,1.237,1.237,0.0,0.1574,0.1574,False,7.858,18.7,25.0,-6.3
MEX,Mexico,102955614,461.811,461.811,0.0,0.5036,0.5036,False,917.055,1666.9,2100.0,-433.1
MMS,Missoula Montana State,925420,1.286,1.286,0.0,0.2921,0.292,False,4.403,20.4,30.0,-9.6
MNM,Mandate of New Mexico,616911,2.913,2.913,0.0,0.9583,0.9584,False,3.04,15.7,25.0,-9.3
