id,file,name,current_manpower,estimated_population,estimate_source,grid_raw,scaled_population,city_sum,city_validation_note
1,history/states/1-State_1.txt,"Southern Ontario, ON",6902459,6899531,grid_2000_scaled,6564207,6899531,10842737,
2,history/states/2-State_2.txt,"Hot Springs, AR",346987,346988,grid_2000_scaled,333138,346988,123850,
3,history/states/3-State_3.txt,"Joplin, MO",614451,614452,grid_2000_scaled,589926,614452,350239,
4,history/states/4-State_4.txt,"Ponce, PR",550521,550523,grid_2000_scaled,528548,550523,137491,
5,history/states/5-State_5.txt,"Mayaguez, PR",382163,382164,grid_2000_scaled,366909,382164,78941,
6,history/states/6-State_6.txt,Northern Alberta,900204,899822,grid_2000_scaled,856089,899822,212061,
7,history/states/7-State_7.txt,"Arecibo, PR",766174,766175,grid_2000_scaled,735593,766175,87554,
8,history/states/8-State_8.txt,North Manitoba,1825,1824,grid_2000_scaled,1736,1824,0,
9,history/states/9-State_9.txt,Quebec,2791224,2790040,grid_2000_scaled,2654441,2790040,4264939,
10,history/states/10-State_10.txt,Labrador,113,472,grid_2000_scaled,3843,472,0,
11,history/states/11-State_11.txt,"Floyd County, KY",473177,473178,grid_2000_scaled,454291,473178,330187,
12,history/states/12-State_12.txt,"Newberry, MI",25205,25205,grid_2000_scaled,24199,25205,1440,
13,history/states/13-State_13.txt,"Saint Ignace, MI",107407,107407,grid_2000_scaled,103120,107407,0,
14,history/states/14-State_14.txt,Central Northern Manitoba,28192,28180,grid_2000_scaled,26810,28180,25296,
15,history/states/15-State_15.txt,"Springfield, MO",663342,663343,grid_2000_scaled,636866,663343,96292,
16,history/states/16-State_16.txt,"Houghton, MI",41607,41607,grid_2000_scaled,39946,41607,12802,
17,history/states/17-State_17.txt,"Moresby Island, BC",10000,10000,special_override,18561,10000,0,
18,history/states/18-State_18.txt,"Shannon, MO",2035700,2035704,grid_2000_scaled,1954448,2035704,27928,
19,history/states/19-State_19.txt,"Evansville, IN",180112,180113,grid_2000_scaled,172924,180113,145394,
20,history/states/20-State_20.txt,"Hopkins, KY",403976,403977,grid_2000_scaled,387852,403977,95343,
21,history/states/21-State_21.txt,"Bloomington, IN",391320,391321,grid_2000_scaled,375701,391321,205312,
22,history/states/22-State_22.txt,"Poplar Bluff, MO",738139,738140,grid_2000_scaled,708677,738140,131010,
23,history/states/23-State_23.txt,Northern British Columbia,2840925,2839720,grid_2000_scaled,2701707,2839720,3516554,
24,history/states/24-State_24.txt,"Louisville, KY",1096004,1096007,grid_2000_scaled,1052259,1096007,977561,
25,history/states/25-State_25.txt,"St. Louis, MO",1027435,1027438,grid_2000_scaled,986427,1027438,889329,
26,history/states/26-State_26.txt,World Border,0,0,special_override,145,0,0,
27,history/states/27-State_27.txt,"Harrisonville, MO",116289,116289,grid_2000_scaled,111647,116289,30326,
28,history/states/28-State_28.txt,"St. Joseph, MO",225340,225341,grid_2000_scaled,216346,225341,176076,
29,history/states/29-State_29.txt,"Adalair, MO",382238,382239,grid_2000_scaled,366982,382239,72257,
30,history/states/30-State_30.txt,"Labrador City, NL",23,840,grid_2000_scaled,799,840,0,
31,history/states/31-State_31.txt,"Kidney Island, NU",10000,10000,special_override,5823,10000,0,
32,history/states/32-State_32.txt,"Tupelo, MS",58209,58209,grid_2000_scaled,55886,58209,0,
33,history/states/33-State_33.txt,"Etowah, AL",340581,340582,grid_2000_scaled,326987,340582,149640,
34,history/states/34-State_34.txt,"Knox, IL",512553,512554,grid_2000_scaled,492095,512554,552321,
35,history/states/35-State_35.txt,"Howard, IN",333893,333894,grid_2000_scaled,320567,333894,259063,
36,history/states/36-State_36.txt,"Coeur d'Alene, ID",51588,51588,grid_2000_scaled,49529,51588,115637,
37,history/states/37-State_37.txt,"Kankakee, IL",365803,365803,grid_2000_scaled,351202,365803,287673,
38,history/states/38-State_38.txt,"Belcher Islands, NU",10000,10000,special_override,9,10000,0,
39,history/states/39-State_39.txt,"Christian, KY",155511,155511,grid_2000_scaled,149304,155511,172071,
40,history/states/40-State_40.txt,Eastern Northern Manitoba,20513,20504,grid_2000_scaled,19508,20504,0,
41,history/states/41-State_41.txt,"Peoria, IL",349347,349347,grid_2000_scaled,335403,349347,238022,
42,history/states/42-State_42.txt,Newfoundland,1065,4451,grid_2000_scaled+city_validation,36231,4451,280599,city_validation_skipped:outlier_city_sum
43,history/states/43-State_43.txt,"Oxford, MS",86940,86941,grid_2000_scaled,83470,86941,1338732,
44,history/states/44-State_44.txt,"El Dorado, AR",272054,272054,grid_2000_scaled,261195,272054,118172,
45,history/states/45-State_45.txt,"Blanc-Sablon, QC",325,11625,grid_2000_scaled,11060,11625,0,
46,history/states/46-State_46.txt,"Champaign, IL",415784,415785,grid_2000_scaled,399189,415785,109089,
47,history/states/47-State_47.txt,"Little Rock, AR",616219,616220,grid_2000_scaled,591624,616220,428523,
48,history/states/48-State_48.txt,"Woodward, OK",29333,29333,grid_2000_scaled,28162,29333,14461,
49,history/states/49-State_49.txt,"Bowling Green, KY",198334,198335,grid_2000_scaled,190418,198335,118069,
50,history/states/50-State_50.txt,"Guayama, PR",740319,740321,grid_2000_scaled,710771,740321,127244,
51,history/states/51-State_51.txt,"Petersburg, IL",250335,250336,grid_2000_scaled,240344,250336,145848,
52,history/states/52-State_52.txt,"Platte, WI",160849,160849,grid_2000_scaled,154429,160849,24572,
53,history/states/53-State_53.txt,Northwest Ontario,584,16272,grid_2000_scaled+city_validation,561,16272,20340,city_floor:16272
54,history/states/54-State_54.txt,"Ottumwa, IA",66085,66085,grid_2000_scaled,63447,66085,7248,
55,history/states/55-State_55.txt,"Iowa City, IA",396173,396174,grid_2000_scaled,380361,396174,253343,
56,history/states/56-State_56.txt,"Dubuque, IA",342025,342025,grid_2000_scaled,328373,342025,290009,
57,history/states/57-State_57.txt,"Waterloo, IA",260495,260496,grid_2000_scaled,250098,260496,143321,
58,history/states/58-State_58.txt,"Covington, KY",877199,877201,grid_2000_scaled,842187,877201,339178,
59,history/states/59-State_59.txt,"Indianapolis, IN",1623343,1623346,grid_2000_scaled,1558550,1623346,1601376,
60,history/states/60-State_60.txt,"Des Moines, IA",577797,577798,grid_2000_scaled,554735,577798,536512,
61,history/states/61-State_61.txt,Illinois,500,500,grid_2000_scaled,0,500,0,
62,history/states/62-State_62.txt,"Vancouver, BC",854803,854441,grid_2000_scaled,812914,854441,509129,
63,history/states/63-State_63.txt,Northern Saskatchwan,8749,9343,grid_2000_scaled,76059,9343,10937,
64,history/states/64-State_64.txt,"North Kansas City, MO",223825,223826,grid_2000_scaled,214892,223826,607434,
65,history/states/65-State_65.txt,"Rochester, MN",136911,136911,grid_2000_scaled,131446,136911,57694,
66,history/states/66-State_66.txt,"Milwaukee, WI",1814983,1814987,grid_2000_scaled,1742541,1814987,1681244,
67,history/states/67-State_67.txt,"Sioux City, IA",368172,368173,grid_2000_scaled,353477,368173,194956,
68,history/states/68-State_68.txt,"Green Bay, WI",187337,187338,grid_2000_scaled,179860,187338,172912,
69,history/states/69-State_69.txt,Ontario,2644706,2643584,grid_2000_scaled,2515104,2643584,3358630,
70,history/states/70-State_70.txt,"Jackson, TN",420769,420770,grid_2000_scaled,403975,420770,1123984,
71,history/states/71-State_71.txt,"Land Between The Lakes, TN",28800,28800,grid_2000_scaled+city_validation,3674,28800,36000,city_floor:28800
72,history/states/72-State_72.txt,"Madison, WI",853104,853106,grid_2000_scaled,819054,853106,638953,
73,history/states/73-State_73.txt,"Lexington, KY",304542,304543,grid_2000_scaled,292387,304543,646204,
74,history/states/74-State_74.txt,"Kalamazoo, MI",570992,570993,grid_2000_scaled,548202,570993,176591,
75,history/states/75-State_75.txt,"Eau Claire, WI",498758,498759,grid_2000_scaled,478851,498759,297247,
76,history/states/76-State_76.txt,"Appleton, WI",570707,570709,grid_2000_scaled,547929,570709,401875,
77,history/states/77-State_77.txt,"Kansas City, MO",270736,270737,grid_2000_scaled,259930,270737,399298,
78,history/states/78-State_78.txt,"Tippecanoe, IN",350462,350462,grid_2000_scaled,336474,350462,184720,
79,history/states/79-State_79.txt,"Oshkosh, WI",208904,208905,grid_2000_scaled,200566,208905,86226,
80,history/states/80-State_80.txt,"Wausau, WI",146608,146608,grid_2000_scaled,140756,146608,45874,
81,history/states/81-State_81.txt,"La Crosse, WI",162941,162941,grid_2000_scaled,156438,162941,32473,
82,history/states/82-State_82.txt,"Minot, ND",96340,96340,grid_2000_scaled,92495,96340,8649,
83,history/states/83-State_83.txt,"Delaware, IN",411228,411229,grid_2000_scaled,394814,411229,177034,
84,history/states/84-State_84.txt,"Willis, ND",44148,44148,grid_2000_scaled+city_validation,22659,44148,55185,city_floor:44148
85,history/states/85-State_85.txt,"Edmonton, AB",1839707,1838927,grid_2000_scaled,1749553,1838927,1516061,
86,history/states/86-State_86.txt,"De Witt, AR",9091,9091,grid_2000_scaled,8728,9091,0,
87,history/states/87-State_87.txt,"Fargo, ND",291139,291140,grid_2000_scaled,279519,291140,247313,
88,history/states/88-State_88.txt,"Vancouver Island, BC",185180,185101,special_override,176105,185101,478683,
89,history/states/89-State_89.txt,"Sioux Falls, SD",233388,233389,grid_2000_scaled,224073,233389,268238,
90,history/states/90-State_90.txt,"Chico, CA",426454,426454,grid_2000_scaled,409432,426454,689941,
91,history/states/91-State_91.txt,"Mitchell, SD",71115,71116,grid_2000_scaled,68277,71116,7345,
92,history/states/92-State_92.txt,"Vaudreuil-Soulanges, QC",73917,73886,grid_2000_scaled,70295,73886,0,
93,history/states/93-State_93.txt,"Twin Islands, NU",10000,10000,special_override,13,10000,0,
94,history/states/94-State_94.txt,"Kindersley, SK",341646,341501,grid_2000_scaled,324904,341501,405333,
95,history/states/95-State_95.txt,"Saskatoon, SK",603337,603081,grid_2000_scaled,573771,603081,309489,
96,history/states/96-State_96.txt,Guantanamo Bay,5962,24923,grid_2000_scaled,202891,24923,0,
97,history/states/97-State_97.txt,"Ann Arbor, MI",785700,785702,grid_2000_scaled,754340,785702,241100,
98,history/states/98-State_98.txt,"Brookings, SD",110990,110990,grid_2000_scaled,106560,110990,86753,
99,history/states/99-State_99.txt,"Rapid City, SD",249309,249310,grid_2000_scaled,239359,249310,144479,
100,history/states/100-State_100.txt,"Winnipeg, MB",98195,98154,grid_2000_scaled,93383,98154,906911,
101,history/states/101-State_101.txt,"Birmingham, AL",512469,512470,grid_2000_scaled,492014,512470,486499,
102,history/states/102-State_102.txt,"Dickinson, ND",79205,79205,grid_2000_scaled,76044,79205,69236,
103,history/states/103-State_103.txt,"Pierre, SD",82277,82277,grid_2000_scaled,78993,82277,0,
104,history/states/104-State_104.txt,"Akimiski Island, NU",10000,10000,special_override,2,10000,0,
105,history/states/105-State_105.txt,"Beatrice, NE",89072,89072,grid_2000_scaled,85517,89072,15026,
106,history/states/106-State_106.txt,"Pine Bluff, AR",28337,28337,grid_2000_scaled,27206,28337,9820,
107,history/states/107-State_107.txt,"Anticosti Island, QC",10000,10000,special_override,0,10000,0,
