lotd_file,lotd_stem,lotd_id,tno_source,vote_pct,vote_count,mapped_provinces,total_provinces,confidence,override,skipped,applied
0-Test Strategic Region.txt,0-Test Strategic Region,1,,0.000,0,0,7,skipped,1,1,0
1-Southern New York.txt,1-Southern New York,2,117-East Coast,0.968,30,31,31,high,0,0,0
10-Eastern Pennslyvania.txt,10-Eastern Pennslyvania,11,117-East Coast,1.000,23,23,23,high,0,0,0
100-Strategic_Region_100.txt,100-Strategic_Region_100,100,198-Northern Rockies,0.616,61,99,99,medium,0,0,0
101-Strategic_Region_101.txt,101-Strategic_Region_101,101,223-Pacific Northwest,0.500,16,32,32,low,0,0,0
102-Strategic_Region_102.txt,102-Strategic_Region_102,102,198-Northern Rockies,0.963,26,27,27,high,0,0,0
103-Strategic_Region_103.txt,103-Strategic_Region_103,103,120-Upper Midwest,0.969,94,97,97,high,0,0,0
104-Strategic_Region_104.txt,104-Strategic_Region_104,104,120-Upper Midwest,0.913,21,23,23,high,0,0,0
105-Strategic_Region_105.txt,105-Strategic_Region_105,105,246-Saint Lawrence,0.550,22,40,40,low,0,0,0
106-Strategic_Region_106.txt,106-Strategic_Region_106,106,196-New England,0.552,32,58,58,low,0,0,0
107-Strategic_Region_107.txt,107-Strategic_Region_107,107,121-Eastern Canada,0.365,216,592,593,low,0,0,0
108-Strategic_Region_108.txt,108-Strategic_Region_108,108,246-Saint Lawrence,0.433,29,67,67,low,0,0,0
109-Strategic_Region_109.txt,109-Strategic_Region_109,109,245-Maritimes,0.920,23,25,25,high,0,0,0
11-Delmarva Peninsula.txt,11-Delmarva Peninsula,12,117-East Coast,1.000,23,23,23,high,0,0,0
110-Strategic_Region_110.txt,110-Strategic_Region_110,110,121-Eastern Canada,1.000,29,29,62,high,0,0,0
111-Strategic_Region_111.txt,111-Strategic_Region_111,111,121-Eastern Canada,1.000,83,83,111,high,0,0,0
112-Strategic_Region_112.txt,112-Strategic_Region_112,112,197-Great Lakes,0.326,151,463,463,low,0,0,0
113-Strategic_Region_113.txt,113-Strategic_Region_113,113,53-Caribbean Sea,0.968,30,31,31,high,0,0,0
114-Strategic_Region_114.txt,114-Strategic_Region_114,114,53-Caribbean Sea,1.000,40,40,40,high,0,0,0
115-Strategic_Region_115.txt,115-Strategic_Region_115,115,53-Caribbean Sea,1.000,60,60,60,high,0,0,0
116-Strategic_Region_116.txt,116-Strategic_Region_116,116,53-Caribbean Sea,1.000,10,10,10,high,0,0,0
117-Strategic_Region_117.txt,117-Strategic_Region_117,117,118-West Coast,1.000,28,28,28,high,0,0,0
118-Strategic_Region_118.txt,118-Strategic_Region_118,118,118-West Coast,1.000,50,50,50,high,0,0,0
119-Strategic_Region_119.txt,119-Strategic_Region_119,119,118-West Coast,1.000,54,54,54,high,0,0,0
12-Maryland.txt,12-Maryland,13,117-East Coast,1.000,23,23,23,high,0,0,0
120-Strategic_Region_120.txt,120-Strategic_Region_120,120,226-Sierra Madre,1.000,44,44,44,high,0,0,0
121-Strategic_Region_121.txt,121-Strategic_Region_121,121,226-Sierra Madre,0.900,36,40,40,high,0,0,0
122-Strategic_Region_122.txt,122-Strategic_Region_122,122,226-Sierra Madre,0.798,71,89,89,medium,0,0,0
123-Strategic_Region_123.txt,123-Strategic_Region_123,123,226-Sierra Madre,0.981,104,106,106,high,0,0,0
124-Strategic_Region_124.txt,124-Strategic_Region_124,124,226-Sierra Madre,0.946,70,74,74,high,0,0,0
125-Strategic_Region_125.txt,125-Strategic_Region_125,125,228-Southern US,0.348,72,207,207,low,0,0,0
126-Strategic_Region_126.txt,126-Strategic_Region_126,126,242-Great Plains,0.691,38,55,55,medium,0,0,0
127-Strategic_Region_127.txt,127-Strategic_Region_127,127,228-Southern US,0.258,39,151,151,low,0,0,0
128-Strategic_Region_128.txt,128-Strategic_Region_128,128,120-Upper Midwest,0.800,16,20,20,medium,0,0,0
129-Strategic_Region_129.txt,129-Strategic_Region_129,129,117-East Coast,0.524,33,63,63,low,0,0,0
13-Central West Virginia.txt,13-Central West Virginia,14,243-Appalachia,0.889,16,18,18,medium,0,0,0
130-Strategic_Region_130.txt,130-Strategic_Region_130,130,197-Great Lakes,0.566,98,173,173,low,0,0,0
131-Strategic_Region_131.txt,131-Strategic_Region_131,131,120-Upper Midwest,0.519,27,52,52,low,0,0,0
132-Strategic_Region_132.txt,132-Strategic_Region_132,132,245-Maritimes,0.939,31,33,33,high,0,0,0
133-Strategic_Region_133.txt,133-Strategic_Region_133,133,226-Sierra Madre,1.000,37,37,37,high,0,0,0
134-Strategic_Region_134.txt,134-Strategic_Region_134,134,226-Sierra Madre,0.781,25,32,32,medium,0,0,0
135-Strategic_Region_135.txt,135-Strategic_Region_135,135,123-Transvolcanic Belt,0.622,28,45,45,medium,0,0,0
136-Strategic_Region_136.txt,136-Strategic_Region_136,136,226-Sierra Madre,1.000,58,58,58,high,0,0,0
137-Strategic_Region_137.txt,137-Strategic_Region_137,137,226-Sierra Madre,0.605,26,43,43,medium,0,0,0
138-Strategic_Region_138.txt,138-Strategic_Region_138,138,123-Transvolcanic Belt,1.000,38,38,38,high,0,0,0
139-Strategic_Region_139.txt,139-Strategic_Region_139,139,123-Transvolcanic Belt,1.000,10,10,10,high,0,0,0
14-East West Virginia.txt,14-East West Virginia,15,117-East Coast,0.632,12,19,19,medium,0,0,0
140-Strategic_Region_140.txt,140-Strategic_Region_140,140,123-Transvolcanic Belt,0.562,9,16,16,low,0,0,0
141-Strategic_Region_141.txt,141-Strategic_Region_141,141,197-Great Lakes,0.554,51,92,92,low,0,0,0
142-Strategic_Region_142.txt,142-Strategic_Region_142,142,197-Great Lakes,0.511,48,94,94,low,0,0,0
143-Strategic_Region_143.txt,143-Strategic_Region_143,143,225-Northern Ontario,0.500,15,30,30,low,0,0,0
144-Strategic_Region_144.txt,144-Strategic_Region_144,144,123-Transvolcanic Belt,0.810,17,21,21,medium,0,0,0
145-Strategic_Region_145.txt,145-Strategic_Region_145,145,123-Transvolcanic Belt,1.000,18,18,18,high,0,0,0
146-Strategic_Region_146.txt,146-Strategic_Region_146,146,170-Floridian Coast,0.568,54,95,95,low,0,0,0
147-Strategic_Region_147.txt,147-Strategic_Region_147,147,227-Yucatan Peninsula,1.000,14,14,14,high,0,0,0
