name,abbr,lon,lat,population,label,source,geoname_id
Mexico City,DF,-99.12766,19.42847,12294193,"Mexico City, DF",geonames,3530597
Mexico City,MX,-99.1332,19.4326,9209944,"Mexico City, MX",curated,
New York City,NY,-74.00597,40.71427,8804190,"New York City, NY",geonames,5128581
New York,NY,-74.006,40.7128,8336817,"New York, NY",curated,
Los Angeles,CA,-118.2437,34.0522,3898747,"Los Angeles, CA",curated,
Toronto,ON,-79.3832,43.6532,2794356,"Toronto, ON",curated,
Chicago,IL,-87.6298,41.8781,2746388,"Chicago, IL",curated,
Brooklyn,NY,-73.9442,40.6782,2736074,"Brooklyn, NY",curated,
Queens,NY,-73.7949,40.7282,2405464,"Queens, NY",curated,
Houston,TX,-95.3698,29.7604,2304580,"Houston, TX",curated,
Santo Domingo,DO,-69.9312,18.4861,2201941,Santo Domingo,curated,
Havana,CU,-82.3666,23.1136,2132183,Havana,curated,
Iztapalapa,DF,-99.06224,19.35529,1835486,"Iztapalapa, DF",geonames,3526683
Tijuana,BC,-117.0382,32.5149,1810645,"Tijuana, BC",curated,
Montreal,QC,-73.5673,45.5017,1762949,"Montreal, QC",curated,
Manhattan,NY,-73.9712,40.7831,1694251,"Manhattan, NY",curated,
Monteregie,QC,-73.4645,45.5219,1680000,"Monteregie, QC",curated,
Ecatepec de Morelos,EM,-99.06064,19.60492,1645352,"Ecatepec de Morelos, EM",geonames,3529612
Phoenix,AZ,-112.074,33.4484,1608139,"Phoenix, AZ",curated,
Santiago de Queretaro,QT,-100.38806,20.58806,1594212,"Santiago de Queretaro, QT",geonames,3991164
Leon,GT,-101.6821,21.125,1579803,"Leon, GT",curated,
Leon de los Aldama,GT,-101.68253,21.12183,1579803,"Leon de los Aldama, GT",geonames,3998655
Philadelphia,PA,-75.1652,39.9526,1567258,"Philadelphia, PA",curated,
Puebla,PU,-98.2063,19.0414,1546259,"Puebla, PU",curated,
Ciudad Juarez,CH,-106.46084,31.72024,1512450,"Ciudad Juarez, CH",geonames,4013708
Juarez,CH,-106.4245,31.6904,1501551,"Juarez, CH",curated,
Zapopan,JA,-103.4068,20.7214,1476491,"Zapopan, JA",curated,
Bronx,NY,-73.8648,40.8448,1472654,"Bronx, NY",curated,
San Antonio,TX,-98.4936,29.4241,1434625,"San Antonio, TX",curated,
San Diego,CA,-117.1611,32.7157,1386932,"San Diego, CA",curated,
Guadalajara,JA,-103.3496,20.6597,1385629,"Guadalajara, JA",curated,
The Bronx,NY,-73.86641,40.84985,1385108,"The Bronx, NY",geonames,5110266
Santiago,DO,-70.697,19.4517,1343423,Santiago,curated,
Calgary,AB,-114.0719,51.0447,1306784,"Calgary, AB",curated,
Dallas,TX,-96.797,32.7767,1304379,"Dallas, TX",curated,
Santiago de los Caballeros,DO,-70.69085,19.45036,1200000,Santiago de los Caballeros,geonames,3492914
Gustavo Adolfo Madero,DF,-99.11075,19.49392,1185772,"Gustavo Adolfo Madero, DF",geonames,3514674
Monterrey,NL,-100.3161,25.6866,1135512,"Monterrey, NL",curated,
Ciudad Nezahualcoyotl,EM,-99.01483,19.40061,1077208,"Ciudad Nezahualcoyotl, EM",geonames,3530589
Prince George's,MD,-76.8519,38.8039,1036093,"Prince George's, MD",curated,
Queretaro,QT,-100.3899,20.5888,1035362,"Queretaro, QT",curated,
Ottawa,ON,-75.6972,45.4215,1017449,"Ottawa, ON",curated,
San Jose,CA,-121.8863,37.3382,1013240,"San Jose, CA",curated,
Edmonton,AB,-113.4909,53.5461,1010899,"Edmonton, AB",curated,
Merida,YU,-89.5926,20.9674,995129,"Merida, YU",curated,
Guatemala City,GUA,-90.51327,14.64072,994938,Guatemala City,geonames,3598132
Port-au-Prince,HT,-72.335,18.5944,987310,Port-au-Prince,curated,
Managua,NI,-86.2504,12.13282,973087,"Managua, NI",geonames,3617763
Jacksonville,FL,-81.6557,30.3322,949611,"Jacksonville, FL",curated,
Kingston,JM,-76.7936,18.0179,937700,Kingston,curated,
Fort Worth,TX,-97.3308,32.7555,918915,"Fort Worth, TX",curated,
Toluca,MX,-99.6532,19.2826,910608,"Toluca, MX",curated,
Toluca,MEX,-99.6557,19.2826,910608,"Toluca, MEX",curated,
Columbus,OH,-82.9988,39.9612,905748,"Columbus, OH",curated,
Middlesex,NJ,-74.4436,40.4936,900194,"Middlesex, NJ",curated,
Cancun,QR,-86.8515,21.1619,888797,"Cancun, QR",curated,
Indianapolis,IN,-86.1581,39.7684,887642,"Indianapolis, IN",curated,
Chihuahua,CH,-106.0691,28.632,878062,"Chihuahua, CH",curated,
Charlotte,NC,-80.8431,35.2271,874579,"Charlotte, NC",curated,
San Francisco,CA,-122.4194,37.7749,873965,"San Francisco, CA",curated,
Hermosillo,SO,-110.9559,29.0729,855563,"Hermosillo, SO",curated,
Tegucigalpa,HN,-87.20681,14.0818,850848,"Tegucigalpa, HN",geonames,3600949
Morelia,MI,-101.1949,19.7059,849053,"Morelia, MI",curated,
Naucalpan de Juarez,EM,-99.23963,19.47851,834434,"Naucalpan de Juarez, EM",geonames,3522790
San Luis Potosi,SL,-100.9855,22.1565,824229,"San Luis Potosi, SL",curated,
Saltillo,CO,-100.9767,25.4232,823128,"Saltillo, CO",curated,
Culiacan,SI,-107.394,24.8091,808416,"Culiacan, SI",curated,
San Pedro Sula,HN,-88.02588,15.50585,801259,"San Pedro Sula, HN",geonames,3601782
Hempstead,NY,-73.6187,40.7062,793409,"Hempstead, NY",curated,
Austin,TX,-97.7437,30.2711,787874,"Austin, TX",curated,
Winnipeg,MB,-97.1384,49.8954,749607,"Winnipeg, MB",curated,
Monmouth,NJ,-74.1671,40.2932,738361,"Monmouth, NJ",curated,
Seattle,WA,-122.3321,47.6062,737015,"Seattle, WA",curated,
Aguascalientes,AG,-102.2916,21.8853,722250,Aguascalientes,curated,
North Metro Atlanta,GA,-84.3578,33.8457,720000,"North Metro Atlanta, GA",curated,
ile Jesus,QC,-73.7212,45.5571,720000,"ile Jesus, QC",curated,
Mississauga,ON,-79.6441,43.589,717961,"Mississauga, ON",curated,
Bucks,PA,-75.1264,40.3452,717162,"Bucks, PA",curated,
Denver,CO,-104.9903,39.7392,715522,"Denver, CO",curated,
Reynosa,TM,-98.2972,26.0508,704767,"Reynosa, TM",curated,
Santo Domingo Oeste,DO,-70.0,18.5,701269,Santo Domingo Oeste,geonames,7874116
Santo Domingo Este,DO,-69.84757,18.48511,700000,Santo Domingo Este,geonames,8601412
Torreon,CO,-103.4244,25.5428,690193,"Torreon, CO",curated,
Mexicali,BC,-115.4683,32.6245,689775,"Mexicali, BC",curated,
Nashville,TN,-86.7816,36.1627,689447,"Nashville, TN",curated,
Oklahoma City,OK,-97.5164,35.4676,681054,"Oklahoma City, OK",curated,
El Paso,TX,-106.485,31.7619,678815,"El Paso, TX",curated,
Boston,MA,-71.0589,42.3601,675647,"Boston, MA",curated,
Guadalupe,NL,-100.25907,25.67663,673616,"Guadalupe, NL",geonames,4005492
Acapulco,GR,-99.8237,16.8531,673479,"Acapulco, GR",curated,
Washington,DC,-77.0369,38.9072,670050,Washington D.C.,curated,
Vancouver,BC,-123.1207,49.2827,662248,"Vancouver, BC",curated,
Acapulco de Juarez,GR,-99.90891,16.84942,658609,"Acapulco de Juarez, GR",geonames,3533462
Brampton,ON,-79.7624,43.7315,656480,"Brampton, ON",curated,
Durango,DG,-104.6576,24.0277,654876,"Durango, DG",curated,
Tlalnepantla,EM,-99.19538,19.54005,653410,"Tlalnepantla, EM",geonames,3515431
Portland,OR,-122.6765,45.5152,652503,"Portland, OR",curated,
Tlaquepaque,JA,-103.29342,20.64121,650123,"Tlaquepaque, JA",geonames,3981461
Las Vegas,NV,-115.1398,36.1699,641903,"Las Vegas, NV",curated,
Detroit,MI,-83.0458,42.3314,639111,"Detroit, MI",curated,
Memphis,TN,-89.9785,35.1495,633104,"Memphis, TN",curated,
Louisville,KY,-85.7585,38.2527,633045,Louisville,curated,
Villa Nueva,GUA,-90.58544,14.52512,618397,Villa Nueva,geonames,3587902
Coyoacan,DF,-99.16174,19.3467,614447,"Coyoacan, DF",geonames,3530139
Veracruz,VE,-96.1342,19.1738,607209,"Veracruz, VE",curated,
Tuxtla,CS,-93.11578,16.75357,604147,"Tuxtla, CS",geonames,3515001
Oaxaca,OA,-96.7266,17.0732,593698,"Oaxaca, OA",curated,
Baltimore,MD,-76.6122,39.2904,585708,"Baltimore, MD",curated,
Milwaukee,WI,-87.9065,43.0389,577222,"Milwaukee, WI",curated,
Tlalpan,DF,-99.16206,19.29513,574577,"Tlalpan, DF",geonames,3515428
Hamilton,ON,-79.8711,43.2557,569353,"Hamilton, ON",curated,
Surrey,BC,-122.849,49.1913,568322,"Surrey, BC",curated,
Albuquerque,NM,-106.6504,35.0844,564559,"Albuquerque, NM",curated,
Santiago de Cuba,CU,-75.8152,20.0247,555865,Santiago de Cuba,curated,
Cuautitlan Izcalli,EM,-99.21598,19.64388,555163,"Cuautitlan Izcalli, EM",geonames,3515807
Quebec City,QC,-71.208,46.8139,549459,"Quebec City, QC",curated,
Tucson,AZ,-110.9747,32.2226,542629,"Tucson, AZ",curated,
Fresno,CA,-119.7871,36.7378,542107,"Fresno, CA",curated,
Tuxtla Gutierrez,CS,-93.1029,16.7516,537102,"Tuxtla Gutierrez, CS",curated,
Quebec,QC,-71.21454,46.81228,531902,"Quebec, QC",geonames,6325494
Cuauhtemoc,DF,-99.14612,19.44506,531831,"Cuauhtemoc, DF",geonames,3827409
San Salvador,SV,-89.18718,13.68935,525990,"San Salvador, SV",geonames,3583361
Sacramento,CA,-121.4944,38.5816,524943,"Sacramento, CA",curated,
Victoria de Durango,DG,-104.65756,24.02032,518709,"Victoria de Durango, DG",geonames,4011743
Onondaga,NY,-76.1474,43.0481,518400,"Onondaga, NY",curated,
Carrefour,HT,-72.4,18.53333,511345,Carrefour,geonames,6201369
Heroica Matamoros,TM,-97.50417,25.87972,510739,"Heroica Matamoros, TM",geonames,3523466
Kansas City,MO,-94.5786,39.0997,508090,"Kansas City, MO",curated,
Mesa,AZ,-111.8315,33.4152,504258,"Mesa, AZ",curated,
Mazatlan,SI,-106.4111,23.2494,501441,"Mazatlan, SI",curated,
Atlanta,GA,-84.388,33.749,498715,"Atlanta, GA",curated,
Staten Island,NY,-74.1502,40.5795,495747,"Staten Island, NY",curated,
Toluca,EM,-99.65324,19.28786,489333,"Toluca, EM",geonames,3515302
Matamoros,TM,-97.5027,25.869,489193,"Matamoros, TM",curated,
Ciudad Lopez Mateos,EM,-99.25675,19.55793,489160,"Ciudad Lopez Mateos, EM",geonames,3532624
Omaha,NE,-95.9345,41.2565,486051,"Omaha, NE",curated,
Colorado Springs,CO,-104.8214,38.8339,478961,"Colorado Springs, CO",curated,
Long Beach,CA,-118.18923,33.76696,474140,"Long Beach, CA",geonames,5367929
Raleigh,NC,-78.6382,35.7796,467665,"Raleigh, NC",curated,
Ciudad Apodaca,NL,-100.18911,25.78143,467157,"Ciudad Apodaca, NL",geonames,4018390
Mixco,GUA,-90.60711,14.63077,465773,Mixco,geonames,3592519
Virginia Beach,VA,-75.978,36.8529,459470,"Virginia Beach, VA",curated,
Ciudad General Escobedo,NL,-100.31767,25.79663,454967,"Ciudad General Escobedo, NL",geonames,4005867
Westmoreland,PA,-79.4873,40.293,443991,"Westmoreland, PA",curated,
Miami,FL,-80.1918,25.7617,442241,"Miami, FL",curated,
Xochimilco,DF,-99.10356,19.25465,442178,"Xochimilco, DF",geonames,3514450
Oakland,CA,-122.2711,37.8044,440646,"Oakland, CA",curated,
Halifax,NS,-63.5752,44.6488,439819,"Halifax, NS",curated,
Laval,QC,-73.7497,45.6066,438366,"Laval, QC",curated,
Minneapolis,MN,-93.265,44.9778,429954,"Minneapolis, MN",curated,
Nuevo Laredo,TM,-99.5069,27.4861,425058,"Nuevo Laredo, TM",curated,
Xalapa de Enriquez,VE,-96.91589,19.53124,424755,"Xalapa de Enriquez, VE",geonames,3526617
London,ON,-81.2497,42.9849,422324,"London, ON",curated,
Azcapotzalco,DF,-99.18594,19.48698,414711,"Azcapotzalco, DF",geonames,3532497
Tulsa,OK,-95.9928,36.154,413066,"Tulsa, OK",curated,
San Nicolas de los Garza,NL,-100.30222,25.74167,412199,"San Nicolas de los Garza, NL",geonames,3985241
Orange,NY,-74.0098,41.5001,409640,"Orange, NY",curated,
Tonala,JA,-103.24168,20.62263,408759,"Tonala, JA",geonames,3981369
Panama City,PA,-79.51973,8.9936,408168,"Panama City, PA",geonames,3703443
Bakersfield,CA,-119.0187,35.3733,403455,"Bakersfield, CA",curated,
Wichita,KS,-97.3301,37.6872,397532,"Wichita, KS",curated,
Delmas,HT,-72.30036,18.54478,395260,Delmas,geonames,3726786
Arlington,TX,-97.1081,32.7357,394266,"Arlington, TX",curated,
Ojo de Agua,EM,-99.01,19.68028,386290,"Ojo de Agua, EM",geonames,3827598
Aurora,CO,-104.8319,39.7294,386261,"Aurora, CO",curated,
Tampa,FL,-82.4572,27.9506,384959,"Tampa, FL",curated,
Xico,EM,-98.95088,19.27032,384327,"Xico, EM",geonames,3514519
Iztacalco,DF,-99.09778,19.39528,384326,"Iztacalco, DF",geonames,3526700
New Orleans,LA,-90.0715,29.9511,383997,"New Orleans, LA",curated,
Irapuato,GT,-101.35577,20.671,380941,"Irapuato, GT",geonames,4004330
Petionville,HT,-72.28528,18.5125,376834,Petionville,geonames,3719028
Miguel Hidalgo,DF,-99.20024,19.43411,372889,"Miguel Hidalgo, DF",geonames,3827408
Cleveland,OH,-81.6944,41.4993,372624,"Cleveland, OH",curated,
Port of Spain,TT,-61.5086,10.6596,370074,Port of Spain,curated,
Cuernavaca,MO,-99.2216,18.9242,366321,"Cuernavaca, MO",curated,
Etobicoke,ON,-79.56985,43.64415,365000,"Etobicoke, ON",geonames,5950268
Ensenada,BC,-116.5964,31.8667,357000,"Ensenada, BC",curated,
Benito Juarez,DF,-99.15766,19.3984,355017,"Benito Juarez, DF",geonames,3827406
Villahermosa,TB,-92.9475,17.9895,353577,"Villahermosa, TB",curated,
Honolulu,HI,-157.8583,21.3069,350964,"Honolulu, HI",curated,
Camagueey,CU,-77.91694,21.38083,347562,Camagueey,geonames,3566067
Anaheim,CA,-117.9143,33.8366,346824,"Anaheim, CA",curated,
San Juan,PR,-66.1057,18.4655,342259,"San Juan, PR",curated,
Celaya,GT,-100.81399,20.52181,340387,"Celaya, GT",geonames,4014875
Markham,ON,-79.337,43.8561,338503,"Markham, ON",curated,
San Jose,CR,-84.08489,9.93388,335007,"San Jose, CR",geonames,3621849
Tepic,NA,-104.8455,21.5039,332863,"Tepic, NA",curated,
Soledad de Graciano Sanchez,SL,-100.93792,22.18912,332072,"Soledad de Graciano Sanchez, SL",geonames,3982912
Soyapango,SV,-89.13989,13.71024,329708,"Soyapango, SV",geonames,3583096
Vaughan,ON,-79.49827,43.8361,323103,"Vaughan, ON",geonames,6173577
Lexington,KY,-84.5037,38.0406,322570,Lexington,curated,
Ixtapaluca,EM,-98.88284,19.31556,322271,"Ixtapaluca, EM",geonames,3526682
San Miguelito,PA,-79.47068,9.05032,321501,"San Miguelito, PA",geonames,3701329
Stockton,CA,-121.2908,37.9577,320804,"Stockton, CA",curated,
Henderson,NV,-114.9817,36.0395,320189,"Henderson, NV",curated,
Holguin,CU,-76.26306,20.88722,319102,Holguin,geonames,3556969
Corpus Christi,TX,-97.3964,27.8006,317863,"Corpus Christi, TX",curated,
Saskatoon,SK,-106.67,52.1579,317260,"Saskatoon, SK",curated,
Riverside,CA,-117.3962,33.9533,314998,"Riverside, CA",curated,
Lexington-Fayette,KY,-84.45855,38.0498,314488,Lexington-Fayette,geonames,4297999
Newark,NJ,-74.1724,40.7357,311549,"Newark, NJ",curated,
St. Paul,MN,-93.09,44.9537,311527,"St. Paul, MN",curated,
Coatzacoalcos,VE,-94.4447,18.14905,310698,"Coatzacoalcos, VE",geonames,3530517
Santa Ana,CA,-117.86783,33.74557,310227,"Santa Ana, CA",geonames,5392900
Cincinnati,OH,-84.512,39.1031,309317,"Cincinnati, OH",curated,
Ciudad Benito Juarez,NL,-100.09142,25.6466,308285,"Ciudad Benito Juarez, NL",geonames,4003757
Orlando,FL,-81.3792,28.5383,307573,"Orlando, FL",curated,
Los Mochis,SI,-108.9902,25.7928,307200,"Los Mochis, SI",curated,
Port-de-Paix,HT,-72.83037,19.93984,306217,Port-de-Paix,geonames,3718420
Ciudad Victoria,TM,-99.1411,23.7369,305155,"Ciudad Victoria, TM",curated,
