lon,lat,population
-99.150000,19.450000,30956130.733572
-99.100000,19.450000,30127428.518199
-99.150000,19.500000,29688425.816902
-99.150000,19.400000,29091333.037258
-99.200000,19.450000,28877506.437541
-99.100000,19.500000,28774770.266699
-99.100000,19.400000,28495962.222798
-99.200000,19.500000,27805400.270959
-99.200000,19.400000,26984883.362789
-99.050000,19.450000,26523332.739502
-99.150000,19.550000,25922847.576920
-99.050000,19.400000,25288322.584751
-99.050000,19.500000,25221993.898847
-99.100000,19.550000,25060896.780817
-99.150000,19.350000,24870993.591220
-74.000000,40.700000,24488799.000301
-99.100000,19.350000,24460494.668234
-99.200000,19.550000,24311602.609346
-74.000000,40.750000,24309600.178981
-73.950000,40.750000,24178728.031080
-73.950000,40.700000,24167669.370352
-99.250000,19.450000,24153468.359457
-99.250000,19.500000,23321388.713940
-99.200000,19.350000,23009056.094950
-99.250000,19.400000,22421694.060344
-74.000000,40.650000,22339381.110862
-74.050000,40.700000,22124147.454262
-73.900000,40.750000,21936886.311710
-73.950000,40.800000,21926784.577259
-99.050000,19.550000,21907083.920503
-73.950000,40.650000,21904584.385986
-74.000000,40.800000,21862457.440950
-99.050000,19.350000,21809837.578629
-74.050000,40.750000,21783753.632326
-73.900000,40.700000,21709389.688337
-99.000000,19.450000,21029891.678133
-99.250000,19.550000,20475780.659651
-99.150000,19.600000,20424364.645491
-74.050000,40.650000,20333206.783768
-99.000000,19.400000,20261344.832066
-73.900000,40.800000,20107568.256440
-99.000000,19.500000,19854729.031810
-99.100000,19.600000,19730264.856219
-73.900000,40.650000,19511492.454894
-99.150000,19.300000,19487338.707287
-74.050000,40.800000,19438160.369488
-99.100000,19.300000,19400755.638565
-99.200000,19.600000,19188827.726144
-99.250000,19.350000,19056423.983172
-73.850000,40.750000,18503755.624118
-74.100000,40.700000,18445066.111116
-73.950000,40.850000,18114283.700682
-73.850000,40.700000,18096967.709595
-74.000000,40.600000,18010435.402939
-99.300000,19.450000,17964959.664752
-74.100000,40.750000,17952805.614490
-74.000000,40.850000,17857184.168652
-99.200000,19.300000,17836147.286510
-99.000000,19.350000,17627711.175332
-99.050000,19.300000,17531722.545958
-73.950000,40.600000,17412402.061539
-99.300000,19.500000,17374394.932210
-99.050000,19.600000,17228188.487939
-73.850000,40.800000,17186371.957640
-99.000000,19.550000,17172385.487367
-74.100000,40.650000,17117691.220240
-73.900000,40.850000,16857620.619882
-74.050000,40.600000,16612155.858442
-99.300000,19.400000,16597368.060162
-99.250000,19.600000,16196165.022379
-73.850000,40.650000,16107562.320358
-74.100000,40.800000,15805780.610961
-74.050000,40.850000,15708327.355877
-99.300000,19.550000,15250425.004392
-73.900000,40.600000,15220326.161495
-98.950000,19.450000,15085568.181991
-99.150000,19.650000,15075005.857743
-73.800000,40.750000,14832589.451590
-98.950000,19.400000,14786014.842946
-99.250000,19.300000,14631253.461624
-73.850000,40.850000,14625945.844631
-99.100000,19.650000,14547779.645299
-74.150000,40.700000,14468195.586929
-99.000000,19.300000,14457581.983321
-74.100000,40.600000,14356484.121862
-73.800000,40.700000,14354423.716373
-99.300000,19.350000,14178840.984129
-99.200000,19.650000,14174228.745179
-98.950000,19.500000,14083168.869461
-74.150000,40.750000,14071417.032232
-73.800000,40.800000,13938967.185835
-73.950000,40.900000,13789588.706692
-99.100000,19.250000,13710704.137990
-99.150000,19.250000,13579924.636553
-99.000000,19.600000,13477164.890085
-74.150000,40.650000,13445319.227729
-74.000000,40.900000,13444208.117861
-74.000000,40.550000,13073666.646315
-98.950000,19.350000,13002250.176144
-73.900000,40.900000,12971456.098068
-99.050000,19.650000,12700167.481034
-73.800000,40.650000,12662394.022841
-99.050000,19.250000,12584599.225292
-73.950000,40.550000,12558024.639664
-74.100000,40.850000,12520563.444756
-74.150000,40.800000,12416583.895438
-73.850000,40.600000,12294003.929718
-99.200000,19.250000,12272115.903997
-74.050000,40.550000,12163281.161644
-99.350000,19.450000,12155356.627951
-99.300000,19.600000,12147048.293531
-98.950000,19.550000,12064945.070609
-99.250000,19.650000,12045523.472301
-73.800000,40.850000,12021161.888737
-99.350000,19.500000,11775772.285277
-74.050000,40.900000,11735407.883933
-73.850000,40.900000,11427165.469391
-74.150000,40.600000,11320105.455812
-99.350000,19.400000,11245985.471669
-98.950000,19.300000,10923983.957565
-73.900000,40.550000,10887247.704222
-99.300000,19.300000,10762858.466653
-99.000000,19.250000,10640224.484856
-74.100000,40.550000,10591701.525725
-99.350000,19.550000,10332642.053817
-99.250000,19.250000,9957752.251228
-99.000000,19.650000,9936286.439740
-74.150000,40.850000,9837870.443732
-99.350000,19.350000,9620392.585293
-73.800000,40.900000,9497699.772070
-73.800000,40.600000,9473406.737101
-74.200000,40.700000,9457250.958557
-98.950000,19.600000,9411768.843723
-74.100000,40.900000,9183392.675043
-74.200000,40.750000,9125866.812844
-99.300000,19.650000,8983323.231382
-74.200000,40.650000,8884003.294475
-74.000000,40.500000,8806083.912746
-73.850000,40.550000,8737464.140652
-74.050000,40.500000,8532218.758658
-74.150000,40.550000,8436716.991528
-73.950000,40.500000,8262756.945198
-98.950000,19.250000,8240748.459954
-99.350000,19.600000,8178018.713098
-74.200000,40.800000,8042826.283268
-74.200000,40.600000,7593767.245940
-74.100000,40.500000,7526832.243484
-99.350000,19.300000,7288914.546309
-74.150000,40.900000,7253080.654306
-99.300000,19.250000,7229456.595370
-73.750000,40.800000,7089752.024087
-73.750000,40.750000,7028171.355932
-98.950000,19.650000,6881217.119807
-73.900000,40.500000,6871960.103845
-73.800000,40.550000,6713727.752575
-73.750000,40.850000,6597718.631377
-73.750000,40.700000,6347626.320995
-74.200000,40.850000,6342265.079207
-74.150000,40.500000,6111246.573188
-99.350000,19.650000,6063103.573782
-74.200000,40.550000,5891900.175373
-118.200000,34.050000,5779886.374442
-118.250000,34.050000,5773361.002923
-118.200000,34.000000,5761029.842884
-118.250000,34.000000,5739552.272224
-73.750000,40.900000,5582191.383412
-118.200000,33.950000,5433997.360559
-118.150000,34.000000,5425420.153710
-118.150000,34.050000,5422191.275229
-118.250000,33.950000,5373287.223500
-73.850000,40.500000,5296109.732136
-73.750000,40.650000,5251933.657729
-118.200000,34.100000,5242585.831224
-118.250000,34.100000,5239306.401678
-118.300000,34.050000,5219967.025553
-118.300000,34.000000,5195122.335428
-118.150000,33.950000,5175899.020932
-73.900000,40.950000,5153972.936174
-73.550000,45.500000,5152458.856377
-73.850000,40.950000,5139971.297018
-73.550000,45.550000,5130985.725934
-99.100000,19.700000,5085676.995758
-99.150000,19.700000,5083394.391089
-73.600000,45.550000,5012388.173703
-73.600000,45.500000,4984156.070360
