id,file,name,land_pixels,road_pixels,density,rating,status
1,history/states/1-State_1.txt,British Columbia,22483,12612,0.5609571676,6,measured
2,history/states/2-State_2.txt,"Hot Springs, AR",3451,2010,0.5824398725,7,measured
3,history/states/3-State_3.txt,"Joplin, MO",6718,3809,0.5669842215,6,measured
4,history/states/4-State_4.txt,"Ponce, PR",922,504,0.5466377440,6,measured
5,history/states/5-State_5.txt,"Mayaguez, PR",775,405,0.5225806452,6,measured
6,history/states/6-State_6.txt,Northern Alberta,149772,26174,0.1747589670,2,measured
7,history/states/7-State_7.txt,"Arecibo, PR",1139,665,0.5838454785,7,measured
8,history/states/8-State_8.txt,North Manitoba,43455,1015,0.0233574963,0,measured
9,history/states/9-State_9.txt,Quebec,440433,26835,0.0609286770,1,measured
10,history/states/10-State_10.txt,Labrador,84214,3359,0.0398864797,1,measured
11,history/states/11-State_11.txt,"Floyd County, KY",7807,5019,0.6428845908,7,measured
12,history/states/12-State_12.txt,"Newberry, MI",4296,1166,0.2714152700,3,measured
13,history/states/13-State_13.txt,"Saint Ignace, MI",1424,627,0.4403089888,5,measured
14,history/states/14-State_14.txt,Central Northern Manitoba,61936,6530,0.1054314131,1,measured
15,history/states/15-State_15.txt,"Springfield, MO",11651,5698,0.4890567333,6,measured
16,history/states/16-State_16.txt,"Houghton, MI",4720,2588,0.5483050847,6,measured
17,history/states/17-State_17.txt,"Moresby Island, BC",4404,433,0.0983197094,1,measured
18,history/states/18-State_18.txt,"Shannon, MO",7136,3044,0.4265695067,5,measured
19,history/states/19-State_19.txt,"Evansville, IN",3500,1978,0.5651428571,6,measured
20,history/states/20-State_20.txt,"Hopkins, KY",4222,3297,0.7809095216,8,measured
21,history/states/21-State_21.txt,"Bloomington, IN",4419,3142,0.7110205929,8,measured
22,history/states/22-State_22.txt,"Poplar Bluff, MO",9287,4579,0.4930548078,6,measured
23,history/states/23-State_23.txt,Northern British Columbia,158153,15531,0.0982023737,1,measured
24,history/states/24-State_24.txt,"Louisville, KY",4566,3324,0.7279894875,8,measured
25,history/states/25-State_25.txt,"St. Louis, MO",637,610,0.9576138148,10,measured
26,history/states/26-State_26.txt,World Border,90112,0,0.0000000000,0,wasteland
27,history/states/27-State_27.txt,"Harrisonville, MO",3077,992,0.3223919402,4,measured
28,history/states/28-State_28.txt,"St. Joseph, MO",5109,3748,0.7336073596,8,measured
29,history/states/29-State_29.txt,"Adalair, MO",13375,6504,0.4862803738,6,measured
30,history/states/30-State_30.txt,Saint-Pierre-et-Miquelon,19526,1003,0.0513674076,1,measured
31,history/states/31-State_31.txt,"Kidney Island, NU",20,0,0.0000000000,0,measured
32,history/states/32-State_32.txt,"Tupelo, MS",8406,4292,0.5105876755,6,measured
33,history/states/33-State_33.txt,"Etowah, AL",3971,2644,0.6658272475,7,measured
34,history/states/34-State_34.txt,"Knox, IL",6856,3657,0.5334014002,6,measured
35,history/states/35-State_35.txt,"Howard, IN",2608,1992,0.7638036810,8,measured
36,history/states/36-State_36.txt,"Coeur d'Alene, ID",5491,1734,0.3157894737,4,measured
37,history/states/37-State_37.txt,"Kankakee, IL",6396,3557,0.5561288305,6,measured
38,history/states/38-State_38.txt,"Belcher Islands, NU",1117,0,0.0000000000,0,measured
39,history/states/39-State_39.txt,"Christian, KY",3073,2542,0.8272046860,9,measured
40,history/states/40-State_40.txt,Eastern Northern Manitoba,78867,462,0.0058579634,0,measured
41,history/states/41-State_41.txt,"Peoria, IL",4719,3366,0.7132867133,8,measured
42,history/states/42-State_42.txt,Newfoundland,48239,13449,0.2787993118,4,measured
43,history/states/43-State_43.txt,"Oxford, MS",4213,2465,0.5850937574,7,measured
44,history/states/44-State_44.txt,"El Dorado, AR",7585,5083,0.6701384311,7,measured
45,history/states/45-State_45.txt,Oklahoma,19997,260,0.0130019503,0,measured
46,history/states/46-State_46.txt,"Champaign, IL",7130,4076,0.5716690042,6,measured
47,history/states/47-State_47.txt,"Little Rock, AR",2195,1028,0.4683371298,6,measured
48,history/states/48-State_48.txt,"Woodward, OK",4208,2371,0.5634505703,6,measured
49,history/states/49-State_49.txt,"Bowling Green, KY",4781,3100,0.6483999163,7,measured
50,history/states/50-State_50.txt,"Guayama, PR",845,545,0.6449704142,7,measured
51,history/states/51-State_51.txt,"Petersburg, IL",2418,1657,0.6852770885,8,measured
52,history/states/52-State_52.txt,"Platte, WI",2660,1527,0.5740601504,7,measured
53,history/states/53-State_53.txt,"Buncombe, NC",29570,0,0.0000000000,0,measured
54,history/states/54-State_54.txt,"Ottumwa, IA",4826,2205,0.4569001243,5,measured
55,history/states/55-State_55.txt,"Iowa City, IA",7899,4584,0.5803266236,7,measured
56,history/states/56-State_56.txt,"Dubuque, IA",7535,3929,0.5214333112,6,measured
57,history/states/57-State_57.txt,"Waterloo, IA",6112,3886,0.6357984293,7,measured
58,history/states/58-State_58.txt,"Covington, KY",5157,4426,0.8582509211,9,measured
59,history/states/59-State_59.txt,"Indianapolis, IN",3059,2805,0.9169663289,9,measured
60,history/states/60-State_60.txt,"Des Moines, IA",7991,4165,0.5212113628,6,measured
61,history/states/61-State_61.txt,Illinois,48,0,0.0000000000,0,measured
62,history/states/62-State_62.txt,"Vancouver, BC",91129,23187,0.2544415060,3,measured
63,history/states/63-State_63.txt,Northern Saskatchwan,132902,11651,0.0876660998,1,measured
64,history/states/64-State_64.txt,"North Kansas City, MO",863,683,0.7914252607,8,measured
65,history/states/65-State_65.txt,"Rochester, MN",5254,3615,0.6880472021,8,measured
66,history/states/66-State_66.txt,"Milwaukee, WI",3534,3031,0.8576683645,9,measured
67,history/states/67-State_67.txt,"Sioux City, IA",12452,6627,0.5322036621,6,measured
68,history/states/68-State_68.txt,"Green Bay, WI",2778,2130,0.7667386609,8,measured
69,history/states/69-State_69.txt,Ontario,376087,40433,0.1075096986,1,measured
70,history/states/70-State_70.txt,"Jackson, TN",7009,4744,0.6768440576,7,measured
71,history/states/71-State_71.txt,"Land Between The Lakes, TN",139,88,0.6330935252,7,measured
72,history/states/72-State_72.txt,"Madison, WI",4998,3393,0.6788715486,7,measured
73,history/states/73-State_73.txt,"Lexington, KY",465,459,0.9870967742,10,measured
74,history/states/74-State_74.txt,"Kalamazoo, MI",3474,2047,0.5892343120,7,measured
75,history/states/75-State_75.txt,"Eau Claire, WI",8610,4745,0.5511033682,6,measured
76,history/states/76-State_76.txt,"Appleton, WI",3106,1708,0.5499034127,6,measured
77,history/states/77-State_77.txt,"Kansas City, MO",1480,1223,0.8263513514,9,measured
78,history/states/78-State_78.txt,"Tippecanoe, IN",3094,2478,0.8009049774,8,measured
79,history/states/79-State_79.txt,"Oshkosh, WI",3692,1931,0.5230227519,6,measured
80,history/states/80-State_80.txt,"Wausau, WI",3268,1557,0.4764381885,6,measured
81,history/states/81-State_81.txt,"La Crosse, WI",5564,2898,0.5208483106,6,measured
82,history/states/82-State_82.txt,"Minot, ND",8986,4189,0.4661695972,5,measured
83,history/states/83-State_83.txt,"Delaware, IN",4387,3271,0.7456120356,8,measured
84,history/states/84-State_84.txt,"Willis, ND",8200,1394,0.1700000000,2,measured
85,history/states/85-State_85.txt,"Edmonton, AB",60114,11374,0.1892071730,2,measured
