id,file,name,province,category,level,dot_size,status
17,history/states/17-State_17.txt,"Moresby Island, BC",4318,tiny_island,2,8,assigned
23,history/states/23-State_23.txt,Northern British Columbia,2487,large_city,8,10,assigned
42,history/states/42-State_42.txt,Newfoundland,3451,large_city,8,12,assigned
88,history/states/88-State_88.txt,"Vancouver Island, BC",5390,metropolis,9,12,assigned
9,history/states/9-State_9.txt,Quebec,1223,megalopolis,10,10,assigned
120,history/states/120-State_120.txt,"Eastern Townships, QC",2152,city,6,11,assigned
141,history/states/141-State_141.txt,New Brunswick,3435,metropolis,9,9,assigned
137,history/states/137-State_137.txt,"North Puget Sound, WA",1685,city,6,11,assigned
145,history/states/145-State_145.txt,"Cape Breton Island, NS",4157,city,6,11,assigned
142,history/states/142-State_142.txt,"Olympic Peninsula, WA",5401,large_town,5,10,assigned
156,history/states/156-State_156.txt,"Puget Islands, WA",3126,town,4,23,assigned
152,history/states/152-State_152.txt,Prince Edward Island,1186,city,6,10,assigned
163,history/states/163-State_163.txt,Nova Scotia,3755,metropolis,9,10,assigned
169,history/states/169-State_169.txt,"South Puget Sound, WA",4872,large_town,5,8,assigned
609,history/states/609-State_609.txt,"Eugene, OR",5503,city,6,15,assigned
184,history/states/184-State_184.txt,"St. John, NB",2425,large_town,5,12,assigned
213,history/states/213-State_213.txt,"Orange, NY",6710,large_city,8,10,assigned
207,history/states/207-State_207.txt,"Somerset, ME",1267,large_town,5,10,assigned
218,history/states/218-State_218.txt,"Monteregie, QC",4179,megalopolis,10,5,assigned
16,history/states/16-State_16.txt,"Houghton, MI",2652,rural,3,8,assigned
221,history/states/221-State_221.txt,"Penobscot Bay, ME",5571,town,4,10,assigned
69,history/states/69-State_69.txt,Ontario,5536,megalopolis,10,10,assigned
577,history/states/577-State_577.txt,"Duluth, MN",2032,large_town,5,7,assigned
190,history/states/190-State_190.txt,"Roseburg, OR",5602,town,4,6,assigned
232,history/states/232-State_232.txt,"Portland Casco Bay, ME",1063,large_town,5,8,assigned
267,history/states/267-State_267.txt,"Mackinac City, MI",4736,pastoral,2,10,assigned
238,history/states/238-State_238.txt,"Alger, MI",5045,rural,3,11,assigned
1,history/states/1-State_1.txt,British Columbia,4472,megalopolis,10,11,assigned
307,history/states/307-State_307.txt,"Plymouth, MA",4572,large_town,5,16,assigned
68,history/states/68-State_68.txt,"Green Bay, WI",3225,large_town,5,8,assigned
705,history/states/705-State_705.txt,"Redding, CA",1210,large_town,5,9,assigned
318,history/states/318-State_318.txt,"Saginaw, MI",4387,large_town,5,17,assigned
326,history/states/326-State_326.txt,"Buffalo, NY",3729,large_city,8,9,assigned
191,history/states/191-State_191.txt,"Muskegon, MI",4559,town,4,5,assigned
328,history/states/328-State_328.txt,"Hartford, CT",2772,city,6,22,assigned
66,history/states/66-State_66.txt,"Milwaukee, WI",1318,metropolis,9,7,assigned
353,history/states/353-State_353.txt,"Erie, PA",18,large_town,5,1,assigned
332,history/states/332-State_332.txt,"Detroit, MI",4649,metropolis,9,15,assigned
775,"history/states/775-Queens, NY.txt","Staten Island, NY",8867,large_city,8,14,assigned
366,history/states/366-State_366.txt,"Chicago Metro, IL",3396,megalopolis,10,8,assigned
620,history/states/620-State_620.txt,"Cleveland, OH",5827,large_city,8,9,assigned
377,history/states/377-State_377.txt,"Chicago, IL",4497,megalopolis,10,8,assigned
385,history/states/385-State_385.txt,"Gary, IN",2541,large_town,5,10,assigned
284,history/states/284-State_284.txt,"Philadelphia, PA",4650,megalopolis,10,9,assigned
395,history/states/395-State_395.txt,"Newcastle, DE",1561,large_city,8,9,assigned
704,history/states/704-State_704.txt,"Napa, CA",3896,large_town,5,4,assigned
756,history/states/756-State_756.txt,"San Francisco Metro, CA",4628,megalopolis,10,22,assigned
404,history/states/404-State_404.txt,"Baltimore, MD",1885,metropolis,9,6,assigned
425,history/states/425-State_425.txt,"Prince George's, MD",4329,metropolis,9,10,assigned
636,history/states/636-State_636.txt,District of Columbia,2022,metropolis,9,6,assigned
411,history/states/411-State_411.txt,"Queen Anne's, MD",4423,town,4,10,assigned
643,history/states/643-State_643.txt,"Salinas, CA",3612,city,6,8,assigned
674,history/states/674-State_674.txt,"Santa Barbara, CA",2469,large_town,5,8,assigned
445,history/states/445-State_445.txt,"Springfield, IL",1221,city,6,6,assigned
459,history/states/459-State_459.txt,"Hampton Roads, VA",4569,megalopolis,10,29,assigned
652,history/states/652-State_652.txt,"Los Angeles, CA",3860,megalopolis,10,13,assigned
506,history/states/506-State_506.txt,"New Hanover, NC",6177,city,6,10,assigned
502,history/states/502-State_502.txt,"Memphis, TN",3935,metropolis,9,9,assigned
662,history/states/662-State_662.txt,"San Diego, CA",4172,metropolis,9,11,assigned
550,history/states/550-State_550.txt,"Beaufort, SC",335,town,4,10,assigned
549,history/states/549-State_549.txt,Baja California,3512,megalopolis,10,6,assigned
559,history/states/559-State_559.txt,"Chatham, GA",4536,city,6,6,assigned
553,history/states/553-State_553.txt,Sonora,894,megalopolis,10,10,assigned
586,history/states/586-State_586.txt,da,6348,town,4,11,assigned
598,history/states/598-State_598.txt,"Mobile, AL",6358,city,6,11,assigned
599,history/states/599-State_599.txt,"Gulfport, MS",4109,large_town,5,9,assigned
591,history/states/591-State_591.txt,"Escambia, FL",6372,large_city,8,6,assigned
596,history/states/596-State_596.txt,"Beaumont, TX",4911,city,6,19,assigned
176,history/states/176-State_176.txt,"New Orleans, LA",2606,large_city,8,9,assigned
611,history/states/611-State_611.txt,"Houston, TX",6393,megalopolis,10,6,assigned
621,history/states/621-State_621.txt,"Hillsborough, FL",6423,metropolis,9,10,assigned
619,history/states/619-State_619.txt,Baja California Sur,93,large_city,8,11,assigned
629,history/states/629-State_629.txt,"Freeport, BS",6767,town,4,8,assigned
633,history/states/633-State_633.txt,"Corpus Christi, TX",3244,large_city,8,6,assigned
627,history/states/627-State_627.txt,"Miami-Dade, FL",3909,megalopolis,10,11,assigned
679,history/states/679-State_679.txt,Turks and Caicos Islands,6810,small_island,3,11,assigned
686,history/states/686-State_686.txt,"Villa Clara, CU",1424,metropolis,9,11,assigned
685,history/states/685-State_685.txt,"Matanzas, CU",3862,metropolis,9,9,assigned
693,history/states/693-State_693.txt,"Artemisa, CU",3900,metropolis,9,7,assigned
668,history/states/668-State_668.txt,"Mazatlan, SI",1392,city,6,10,assigned
717,history/states/717-State_717.txt,US Virgin Islands,6821,large_town,5,9,assigned
702,history/states/702-State_702.txt,"Camaguey, CU",1048,metropolis,9,10,assigned
699,history/states/699-State_699.txt,"Cienfuegos, CU",2017,large_city,8,9,assigned
707,history/states/707-State_707.txt,"San Juan, PR",6510,large_city,8,9,assigned
714,history/states/714-State_714.txt,"Puerto Plata, DO",3973,city,6,7,assigned
7,history/states/7-State_7.txt,"Arecibo, PR",6515,large_town,5,10,assigned
711,history/states/711-State_711.txt,"Holguin, CU",6527,metropolis,9,11,assigned
5,history/states/5-State_5.txt,"Mayaguez, PR",1645,large_town,5,19,assigned
731,history/states/731-State_731.txt,"Isla de Juventud, CU",436,large_town,5,3,assigned
722,history/states/722-State_722.txt,"Guantanamo, CU",3834,metropolis,9,6,assigned
4,history/states/4-State_4.txt,"Ponce, PR",3321,city,6,10,assigned
735,history/states/735-State_735.txt,"Artibonite, HT",4963,megalopolis,10,10,assigned
688,history/states/688-State_688.txt,"Ciudad Victoria, TM",6538,large_city,8,9,assigned
736,history/states/736-State_736.txt,"Granma, CU",3841,metropolis,9,11,assigned
749,history/states/749-State_749.txt,"Peravia, DO",3365,city,6,19,assigned
734,history/states/734-State_734.txt,"Santiago de Cuba, CU",4135,large_city,8,6,assigned
