segment_id,level,province_count,endpoint_a,endpoint_b,vp_a,vp_b,regional_floor,endpoint_boost,boost_reason,state_a,state_b,owner_a,owner_b,province_list
1,3,7,5702,4387,0,0,3,2,none,"Mason, MI","Saginaw, MI",WOL,WOL,5702 4434 2896 3021 5694 4553 4387
2,3,4,4387,2201,0,0,3,2,none,"Saginaw, MI","Flint, MI",WOL,EFG,4387 5730 3797 2201
3,5,2,2201,3574,0,10,3,5,dense_metro,"Flint, MI","Oakland, MI",EFG,DET,2201 3574
4,5,2,3574,3515,10,10,3,5,dense_metro,"Oakland, MI","Detroit Metro, MI",DET,DET,3574 3515
5,5,2,3515,4649,10,45,3,5,dense_metro,"Detroit Metro, MI","Detroit, MI",DET,DET,3515 4649
6,5,5,3031,4253,16,16,3,5,dense_metro,"Kent, MI","East Lansing, MI",EFG,EFG,3031 4838 777 5774 4253
7,5,4,4253,3515,16,10,3,5,dense_metro,"East Lansing, MI","Detroit Metro, MI",EFG,DET,4253 4556 5770 3515
8,5,2,3515,4649,10,45,3,5,dense_metro,"Detroit Metro, MI","Detroit, MI",DET,DET,3515 4649
9,5,2,4253,5749,16,0,3,5,dense_urban_link,"East Lansing, MI","Flint, MI",EFG,EFG,4253 5749
10,3,2,5749,2201,0,0,3,2,none,"Flint, MI","Flint, MI",EFG,EFG,5749 2201
11,3,5,2201,4893,0,0,3,2,none,"Flint, MI","St. Clair, MI",EFG,DET,2201 4341 5746 1330 4893
12,5,3,4893,4649,0,45,3,5,dense_metro,"St. Clair, MI","Detroit, MI",DET,DET,4893 5763 4649
13,5,3,5749,3574,0,10,3,5,dense_metro,"Flint, MI","Oakland, MI",EFG,DET,5749 3618 3574
14,3,2,4387,2053,0,6,3,2,none,"Saginaw, MI","Saginaw, MI",WOL,WOL,4387 2053
15,5,2,4073,2541,50,10,3,5,major_corridor,"Chicago, IL","Gary, IN",EFG,EFG,4073 2541
16,3,2,2541,83,10,0,3,2,none,"Gary, IN","Gary, IN",EFG,EFG,2541 83
17,3,3,83,3436,0,10,3,2,none,"Gary, IN","Kalamazoo, MI",EFG,EFG,83 5808 3436
18,5,6,3436,3515,10,10,3,5,dense_metro,"Kalamazoo, MI","Detroit Metro, MI",EFG,DET,3436 5787 2902 4934 2598 3515
19,3,4,3436,83,10,0,3,2,none,"Kalamazoo, MI","Gary, IN",EFG,EFG,3436 4596 2272 83
20,5,2,4649,3515,45,10,3,5,dense_metro,"Detroit, MI","Detroit Metro, MI",DET,DET,4649 3515
21,5,4,3515,5077,10,0,3,5,dense_metro,"Detroit Metro, MI","Williams, OH",DET,EFG,3515 4209 5801 5077
22,5,2,5077,3924,0,25,3,5,dense_metro,"Williams, OH","Toledo, OH",EFG,SOH,5077 3924
23,3,2,3924,5839,25,0,3,3,regional_city,"Toledo, OH","Toledo, OH",SOH,SOH,3924 5839
24,3,3,5839,4140,0,0,3,2,none,"Toledo, OH","Toledo, OH",SOH,SOH,5839 1088 4140
25,3,4,4140,3010,0,16,3,3,regional_city,"Toledo, OH","Dayton, OH",SOH,SOH,4140 5877 4697 3010
26,3,3,3010,5963,16,25,3,3,regional_city,"Dayton, OH","Cincinnati, OH",SOH,SOH,3010 4377 5963
27,3,3,5963,3523,25,0,3,3,regional_city,"Cincinnati, OH","Bartholomew, IN",SOH,IMA,5963 3538 3523
28,3,4,3523,5998,0,0,3,2,none,"Bartholomew, IN","Bartholomew, IN",IMA,IMA,3523 22 2848 5998
29,3,8,5998,6019,0,0,3,2,none,"Bartholomew, IN","Mount Vernon, IL",IMA,USM,5998 5997 2478 6003 995 924 489 6019
30,3,2,6019,6011,0,0,3,2,none,"Mount Vernon, IL","Springfield, IL",USM,USM,6019 6011
31,3,2,6011,1221,0,0,3,2,none,"Springfield, IL","Springfield, IL",USM,USM,6011 1221
32,4,2,1221,3756,0,35,3,4,city_link,"Springfield, IL","St. Louis, MO",USM,USM,1221 3756
33,4,2,3756,4847,35,0,3,4,city_link,"St. Louis, MO","Gasconade, MO",USM,USM,3756 4847
34,3,9,4847,4498,0,16,2,3,regional_city,"Gasconade, MO","Kansas City, MO",USM,CKC,4847 4368 930 766 6009 2127 2304 1428 4498
35,3,4,5077,83,0,0,3,2,none,"Williams, OH","Gary, IN",EFG,EFG,5077 3880 5826 83
36,3,4,3924,256,25,0,3,3,regional_city,"Toledo, OH","Cleveland, OH",SOH,REO,3924 1918 3972 256
37,3,2,256,5827,0,30,3,3,regional_city,"Cleveland, OH","Cleveland, OH",REO,REO,256 5827
38,3,2,5827,3111,30,0,3,3,regional_city,"Cleveland, OH","Lake, Ohio",REO,REO,5827 3111
39,3,4,3111,18,0,15,3,2,none,"Lake, Ohio","Erie, PA",REO,ERE,3111 3933 5793 18
40,3,2,18,4282,15,0,3,2,none,"Erie, PA","Chautauqua, NY",ERE,ERE,18 4282
41,3,2,4282,1127,0,0,3,2,none,"Chautauqua, NY","Chautauqua, NY",ERE,ERE,4282 1127
42,5,2,1127,317,0,25,3,5,dense_metro,"Chautauqua, NY","Hamburg, NY",ERE,ERE,1127 317
43,5,3,317,3729,25,6,3,5,dense_metro,"Hamburg, NY","Buffalo, NY",ERE,ROC,317 3954 3729
44,3,2,3729,2689,6,0,3,2,none,"Buffalo, NY","Genesse, NY",ROC,ROC,3729 2689
45,5,2,2689,9,0,35,3,5,dense_metro,"Genesse, NY","Monroe, NY",ROC,ROC,2689 9
46,5,3,9,1604,35,0,3,5,dense_metro,"Monroe, NY","Onondaga, NY",ROC,ITH,9 4265 1604
47,3,3,3729,4966,6,0,3,2,none,"Buffalo, NY","Genesse, NY",ROC,ROC,3729 2687 4966
48,5,2,4966,9,0,35,3,5,dense_metro,"Genesse, NY","Monroe, NY",ROC,ROC,4966 9
49,3,5,4966,5734,0,0,3,2,none,"Genesse, NY","Steuben, NY",ROC,ITH,4966 4923 4222 5731 5734
50,3,2,5734,4520,0,0,3,2,none,"Steuben, NY","Steuben, NY",ITH,ITH,5734 4520
51,5,5,1604,5663,0,35,3,5,dense_metro,"Onondaga, NY","Albany, NY",ITH,ALB,1604 354 1129 3904 5663
52,5,2,5663,3323,35,0,3,5,dense_metro,"Albany, NY","Schenectady, NY",ALB,ALB,5663 3323
53,5,3,5663,5695,35,0,3,5,dense_metro,"Albany, NY","Columbia, NY",ALB,ALB,5663 3171 5695
54,3,2,5695,1265,0,6,3,2,none,"Columbia, NY","Berkshire, MA",ALB,MCA,5695 1265
55,3,2,1265,2161,6,0,3,2,none,"Berkshire, MA","Berkshire, MA",MCA,MCA,1265 2161
56,5,4,2161,1183,0,16,3,5,dense_metro,"Berkshire, MA","Essex, MA",MCA,BRA,2161 4362 3248 1183
57,5,11,1183,2161,16,0,3,5,dense_metro,"Essex, MA","Berkshire, MA",BRA,MCA,1183 5666 4572 803 218 5717 864 2772 3427 4754 2161
