id,file,name,abbr,oil,aluminium,steel,tungsten,chromium,uranium
1,history/states/1-State_1.txt,British Columbia,,0,29,0,0,0,0
2,history/states/2-State_2.txt,"Hot Springs, AR",AR,0,19,0,0,0,0
6,history/states/6-State_6.txt,Northern Alberta,,152,0,0,0,0,0
9,history/states/9-State_9.txt,Quebec,,0,67,45,0,0,0
10,history/states/10-State_10.txt,Labrador,,0,0,64,0,0,0
16,history/states/16-State_16.txt,"Houghton, MI",MI,0,0,29,0,0,0
23,history/states/23-State_23.txt,Northern British Columbia,,45,19,0,0,0,0
24,history/states/24-State_24.txt,"Louisville, KY",KY,0,16,0,0,0,0
47,history/states/47-State_47.txt,"Little Rock, AR",AR,0,29,0,0,0,0
63,history/states/63-State_63.txt,Northern Saskatchwan,,0,0,0,0,0,51
69,history/states/69-State_69.txt,Ontario,,0,0,51,0,0,22
82,history/states/82-State_82.txt,"Minot, ND",ND,67,0,0,0,0,0
101,history/states/101-State_101.txt,"Birmingham, AL",AL,0,0,51,0,0,0
102,history/states/102-State_102.txt,"Dickinson, ND",ND,29,0,0,0,0,0
139,history/states/139-State_139.txt,"Great Falls, MT",MT,0,0,0,3,0,0
143,history/states/143-State_143.txt,"Tucson, AZ",AZ,0,0,0,0,0,6
146,history/states/146-State_146.txt,"Salt Lake City, UT",UT,22,0,22,0,0,10
161,history/states/161-State_161.txt,"Kalispell, MT",MT,0,0,0,0,6,0
172,history/states/172-State_172.txt,"Columbia Basin, WA",WA,0,35,0,0,0,0
177,history/states/177-State_177.txt,"Butte, MT",MT,0,0,0,5,0,0
204,history/states/204-State_204.txt,"Billings, MT",MT,0,0,0,0,19,0
222,history/states/222-State_222.txt,"Marquette, MI",MI,0,0,45,0,0,0
278,history/states/278-State_278.txt,"Medford, OR",OR,0,13,0,0,0,0
283,history/states/283-State_283.txt,"Casper, WY",WY,38,0,19,0,0,19
288,history/states/288-State_288.txt,"Boise, ID",ID,0,0,0,6,0,0
326,history/states/326-State_326.txt,"Buffalo, NY",NY,0,10,0,0,0,0
345,history/states/345-State_345.txt,"Allegheny, PA",PA,0,0,61,0,0,0
354,history/states/354-State_354.txt,"Long Island, NY",NY,0,13,0,0,0,0
385,history/states/385-State_385.txt,"Gary, IN",IN,0,0,16,0,0,0
465,history/states/465-State_465.txt,"Wichita, KS",KS,19,0,0,0,0,0
471,history/states/471-State_471.txt,"Denver, CO",CO,26,0,0,10,0,13
477,history/states/477-State_477.txt,"Farmington, NM",NM,29,0,0,0,0,22
485,history/states/485-State_485.txt,"Knoxville, TN",TN,0,22,0,0,0,0
494,history/states/494-State_494.txt,"Buncombe, NC",NC,0,0,0,6,0,0
495,history/states/495-State_495.txt,"Tulsa, OK",OK,45,0,0,0,0,0
498,history/states/498-State_498.txt,"Phoenix, AZ",AZ,0,0,0,0,0,8
519,history/states/519-State_519.txt,"Amarillo, TX",TX,29,0,0,0,0,0
543,history/states/543-State_543.txt,"Lubbock, TX",TX,22,0,0,0,0,0
549,history/states/549-State_549.txt,Baja California,,16,0,0,0,0,0
553,history/states/553-State_553.txt,Sonora,,22,0,0,0,0,0
554,history/states/554-State_554.txt,"Wichita Falls, TX",TX,13,0,0,0,0,0
555,history/states/555-State_555.txt,"Carlsbad, NM",NM,42,0,0,0,0,16
564,history/states/564-State_564.txt,"Greater Dallas-Fort Worth Area, TX",TX,0,35,0,0,0,0
571,history/states/571-State_571.txt,"Shreveport, LA",LA,35,0,0,0,0,0
574,history/states/574-State_574.txt,"Odessa, TX",TX,93,0,0,0,0,0
577,history/states/577-State_577.txt,"Duluth, MN",MN,0,0,77,0,0,0
579,history/states/579-State_579.txt,Chihuahua,,29,0,0,0,0,0
596,history/states/596-State_596.txt,"Beaumont, TX",TX,19,19,0,0,0,0
600,history/states/600-State_600.txt,"Baton Rouge, LA",LA,51,0,0,0,0,0
609,history/states/609-State_609.txt,"Eugene, OR",OR,0,0,0,0,10,0
611,history/states/611-State_611.txt,"Houston, TX",TX,115,61,0,0,0,5
615,history/states/615-State_615.txt,Coahuila,,0,0,48,0,0,0
617,history/states/617-State_617.txt,"Laredo, TX",TX,35,0,0,0,0,0
620,history/states/620-State_620.txt,"Cleveland, OH",OH,0,0,13,0,0,0
633,history/states/633-State_633.txt,"Corpus Christi, TX",TX,45,13,0,0,0,8
635,history/states/635-State_635.txt,"Monterrey, NL",NL,35,0,0,0,0,0
653,history/states/653-State_653.txt,"Matamoros, TA",TA,51,0,0,0,0,0
654,history/states/654-State_654.txt,"Los Angeles Metro, CA",CA,29,6,0,0,0,0
655,history/states/655-State_655.txt,"San Diego Metro, CA",CA,0,3,0,0,0,0
656,history/states/656-State_656.txt,"Elko, NV",NV,16,0,0,8,0,0
674,history/states/674-State_674.txt,"Santa Barbara, CA",CA,48,0,0,0,3,0
680,history/states/680-State_680.txt,"Oklahoma City, OK",OK,56,0,0,0,0,0
692,history/states/692-State_692.txt,"Bakersfield, CA",CA,88,3,0,8,0,0
695,history/states/695-State_695.txt,"Fresno, CA",CA,19,0,0,5,0,0
705,history/states/705-State_705.txt,"Redding, CA",CA,0,0,0,0,2,0
745,history/states/745-State_745.txt,"Brainerd, MN",MN,0,0,35,0,0,0
754,history/states/754-State_754.txt,Veracruz,,109,0,0,0,0,0
756,history/states/756-State_756.txt,"San Francisco Metro, CA",CA,0,5,0,0,0,0
