state_id,state_name,country,land_pixels,grid_raw,city_sum,old_manpower,new_manpower,delta_pct,estimate_source
1,"Southern Ontario, ON",CA,22483,6564207,10842737,6902459,6899531,-0.0,grid_2000_scaled
2,"Hot Springs, AR",US,3451,333138,123850,346987,346988,0.0,grid_2000_scaled
3,"Joplin, MO",US,6718,589926,350239,614451,614452,0.0,grid_2000_scaled
4,"Ponce, PR",US,922,528548,137491,550521,550523,0.0,grid_2000_scaled
5,"Mayaguez, PR",US,775,366909,78941,382163,382164,0.0,grid_2000_scaled
6,Northern Alberta,CA,149950,856089,212061,900204,899822,-0.0,grid_2000_scaled
7,"Arecibo, PR",US,1139,735593,87554,766174,766175,0.0,grid_2000_scaled
8,North Manitoba,CA,43455,1736,0,1825,1824,-0.1,grid_2000_scaled
9,Quebec,CA,442152,2654441,4264939,2791224,2790040,-0.0,grid_2000_scaled
10,Labrador,OTHER,84399,3843,0,113,472,317.7,grid_2000_scaled
11,"Floyd County, KY",US,7807,454291,330187,473177,473178,0.0,grid_2000_scaled
12,"Newberry, MI",US,4296,24199,1440,25205,25205,0.0,grid_2000_scaled
13,"Saint Ignace, MI",US,1424,103120,0,107407,107407,0.0,grid_2000_scaled
14,Central Northern Manitoba,CA,62147,26810,25296,28192,28180,-0.0,grid_2000_scaled
15,"Springfield, MO",US,11651,636866,96292,663342,663343,0.0,grid_2000_scaled
16,"Houghton, MI",US,4720,39946,12802,41607,41607,0.0,grid_2000_scaled
17,"Moresby Island, BC",CA,4404,18561,0,10000,10000,0.0,special_override
18,"Shannon, MO",US,7136,1954448,27928,2035700,2035704,0.0,grid_2000_scaled
19,"Evansville, IN",US,3500,172924,145394,180112,180113,0.0,grid_2000_scaled
20,"Hopkins, KY",US,4222,387852,95343,403976,403977,0.0,grid_2000_scaled
21,"Bloomington, IN",US,4419,375701,205312,391320,391321,0.0,grid_2000_scaled
22,"Poplar Bluff, MO",US,9287,708677,131010,738139,738140,0.0,grid_2000_scaled
23,Northern British Columbia,CA,158603,2701707,3516554,2840925,2839720,-0.0,grid_2000_scaled
24,"Louisville, KY",US,4566,1052259,977561,1096004,1096007,0.0,grid_2000_scaled
25,"St. Louis, MO",US,637,986427,889329,1027435,1027438,0.0,grid_2000_scaled
26,World Border,WASTELAND,90112,145,0,0,0,0.0,special_override
27,"Harrisonville, MO",US,3077,111647,30326,116289,116289,0.0,grid_2000_scaled
28,"St. Joseph, MO",US,5109,216346,176076,225340,225341,0.0,grid_2000_scaled
29,"Adalair, MO",US,13375,366982,72257,382238,382239,0.0,grid_2000_scaled
30,"Labrador City, NL",CA,19636,799,0,23,840,3552.2,grid_2000_scaled
31,"Kidney Island, NU",CA,20,5823,0,10000,10000,0.0,special_override
32,"Tupelo, MS",US,8406,55886,0,58209,58209,0.0,grid_2000_scaled
33,"Etowah, AL",US,3971,326987,149640,340581,340582,0.0,grid_2000_scaled
34,"Knox, IL",US,6856,492095,552321,512553,512554,0.0,grid_2000_scaled
35,"Howard, IN",US,2608,320567,259063,333893,333894,0.0,grid_2000_scaled
36,"Coeur d'Alene, ID",US,5491,49529,115637,51588,51588,0.0,grid_2000_scaled
37,"Kankakee, IL",US,6396,351202,287673,365803,365803,0.0,grid_2000_scaled
38,"Belcher Islands, NU",CA,1117,9,0,10000,10000,0.0,special_override
39,"Christian, KY",US,3073,149304,172071,155511,155511,0.0,grid_2000_scaled
40,Eastern Northern Manitoba,CA,79027,19508,0,20513,20504,-0.0,grid_2000_scaled
41,"Peoria, IL",US,4719,335403,238022,349347,349347,0.0,grid_2000_scaled
42,Newfoundland,OTHER,48239,36231,280599,1065,4451,317.9,grid_2000_scaled+city_validation
43,"Oxford, MS",US,4213,83470,1338732,86940,86941,0.0,grid_2000_scaled
44,"El Dorado, AR",US,7585,261195,118172,272054,272054,0.0,grid_2000_scaled
45,"Blanc-Sablon, QC",CA,19997,11060,0,325,11625,3476.9,grid_2000_scaled
46,"Champaign, IL",US,7130,399189,109089,415784,415785,0.0,grid_2000_scaled
47,"Little Rock, AR",US,2195,591624,428523,616219,616220,0.0,grid_2000_scaled
48,"Woodward, OK",US,4208,28162,14461,29333,29333,0.0,grid_2000_scaled
49,"Bowling Green, KY",US,4781,190418,118069,198334,198335,0.0,grid_2000_scaled
50,"Guayama, PR",US,845,710771,127244,740319,740321,0.0,grid_2000_scaled
51,"Petersburg, IL",US,2418,240344,145848,250335,250336,0.0,grid_2000_scaled
