id,file,name,current_manpower,estimated_population,estimate_source,grid_raw,scaled_population,city_sum,city_validation_note
1,history/states/1-State_1.txt,British Columbia,6772272,6904281,grid_2000_scaled,6564207,6904281,0,
2,history/states/2-State_2.txt,"Hot Springs, AR",192231,348291,grid_2000_scaled,333138,348291,123850,
3,history/states/3-State_3.txt,"Joplin, MO",337525,616759,grid_2000_scaled,589926,616759,350239,
4,history/states/4-State_4.txt,"Ponce, PR",114346,552590,grid_2000_scaled,528548,552590,137491,
5,history/states/5-State_5.txt,"Mayaguez, PR",62616,383599,grid_2000_scaled,366909,383599,78941,
6,history/states/6-State_6.txt,Northern Alberta,509901,900441,grid_2000_scaled,856089,900441,212061,
7,history/states/7-State_7.txt,"Arecibo, PR",159840,769052,grid_2000_scaled,735593,769052,87554,
8,history/states/8-State_8.txt,North Manitoba,168,1826,grid_2000_scaled,1736,1826,0,
9,history/states/9-State_9.txt,Quebec,3255362,2791961,grid_2000_scaled,2654441,2791961,4264939,
10,history/states/10-State_10.txt,Labrador,500,113,grid_2000_scaled,3843,113,0,
11,history/states/11-State_11.txt,"Floyd County, KY",228945,474954,grid_2000_scaled,454291,474954,330187,
12,history/states/12-State_12.txt,"Newberry, MI",1776,25300,grid_2000_scaled,24199,25300,1440,
13,history/states/13-State_13.txt,"Saint Ignace, MI",50244,107810,grid_2000_scaled,103120,107810,0,
14,history/states/14-State_14.txt,Central Northern Manitoba,20236,28199,grid_2000_scaled,26810,28199,25296,
15,history/states/15-State_15.txt,"Springfield, MO",317431,665834,grid_2000_scaled,636866,665834,96292,
16,history/states/16-State_16.txt,"Houghton, MI",10241,41763,grid_2000_scaled,39946,41763,12802,
17,history/states/17-State_17.txt,"Moresby Island, BC",10000,10000,special_override,18561,10000,0,
18,history/states/18-State_18.txt,"Shannon, MO",1677949,2043348,grid_2000_scaled,1954448,2043348,27928,
19,history/states/19-State_19.txt,"Evansville, IN",116315,180789,grid_2000_scaled,172924,180789,145394,
20,history/states/20-State_20.txt,"Hopkins, KY",221182,405494,grid_2000_scaled,387852,405494,95343,
21,history/states/21-State_21.txt,"Bloomington, IN",202596,392791,grid_2000_scaled,375701,392791,205312,
22,history/states/22-State_22.txt,"Poplar Bluff, MO",328684,740912,grid_2000_scaled,708677,740912,131010,
23,history/states/23-State_23.txt,Northern British Columbia,2850643,2841675,grid_2000_scaled,2701707,2841675,3516554,
24,history/states/24-State_24.txt,"Louisville, KY",953140,1100122,grid_2000_scaled,1052259,1100122,977561,
25,history/states/25-State_25.txt,"St. Louis, MO",806255,1031296,grid_2000_scaled,986427,1031296,889329,
26,history/states/26-State_26.txt,World Border,0,0,special_override,0,0,0,
27,history/states/27-State_27.txt,"Harrisonville, MO",47749,116726,grid_2000_scaled,111647,116726,30326,
28,history/states/28-State_28.txt,"St. Joseph, MO",211117,226187,grid_2000_scaled,216346,226187,176076,
29,history/states/29-State_29.txt,"Adalair, MO",164357,383674,grid_2000_scaled,366982,383674,72257,
30,history/states/30-State_30.txt,Saint-Pierre-et-Miquelon,500,23,grid_2000_scaled,799,23,0,
31,history/states/31-State_31.txt,"Kidney Island, NU",10000,10000,special_override,0,10000,0,
32,history/states/32-State_32.txt,"Tupelo, MS",51302,58428,grid_2000_scaled,55886,58428,0,
33,history/states/33-State_33.txt,"Etowah, AL",269109,341861,grid_2000_scaled,326987,341861,149640,
34,history/states/34-State_34.txt,"Knox, IL",423836,514479,grid_2000_scaled,492095,514479,552321,
35,history/states/35-State_35.txt,"Howard, IN",424466,335148,grid_2000_scaled,320567,335148,259063,
36,history/states/36-State_36.txt,"Coeur d'Alene, ID",92509,92509,grid_2000_scaled+city_validation,49529,92509,115637,city_floor:92509
37,history/states/37-State_37.txt,"Kankakee, IL",312207,367177,grid_2000_scaled,351202,367177,287673,
38,history/states/38-State_38.txt,"Belcher Islands, NU",10000,10000,special_override,9,10000,0,
39,history/states/39-State_39.txt,"Christian, KY",110293,156095,grid_2000_scaled,149304,156095,172071,
40,history/states/40-State_40.txt,Eastern Northern Manitoba,190,20518,grid_2000_scaled,19508,20518,0,
41,history/states/41-State_41.txt,"Peoria, IL",335675,350659,grid_2000_scaled,335403,350659,238022,
42,history/states/42-State_42.txt,Newfoundland,240499,224479,grid_2000_scaled+city_validation,36231,224479,280599,city_floor:224479
43,history/states/43-State_43.txt,"Oxford, MS",1070985,1070985,grid_2000_scaled+city_validation,0,1070985,1338732,city_floor:1070985
44,history/states/44-State_44.txt,"El Dorado, AR",134193,273076,grid_2000_scaled,261195,273076,118172,
45,history/states/45-State_45.txt,Oklahoma,249,325,grid_2000_scaled,11060,325,0,
46,history/states/46-State_46.txt,"Champaign, IL",226140,417346,grid_2000_scaled,399189,417346,109089,
47,history/states/47-State_47.txt,"Little Rock, AR",486576,618534,grid_2000_scaled,591624,618534,428523,
48,history/states/48-State_48.txt,"Woodward, OK",17472,29443,grid_2000_scaled,28162,29443,14461,
49,history/states/49-State_49.txt,"Bowling Green, KY",70838,199079,grid_2000_scaled,190418,199079,118069,
50,history/states/50-State_50.txt,"Guayama, PR",217711,743101,grid_2000_scaled,710771,743101,127244,
51,history/states/51-State_51.txt,"Petersburg, IL",152739,251276,grid_2000_scaled,240344,251276,145848,
52,history/states/52-State_52.txt,"Platte, WI",96253,161453,grid_2000_scaled,154429,161453,24572,
53,history/states/53-State_53.txt,"Buncombe, NC",23,586,grid_2000_scaled,561,586,0,
54,history/states/54-State_54.txt,"Ottumwa, IA",22711,66333,grid_2000_scaled,63447,66333,7248,
55,history/states/55-State_55.txt,"Iowa City, IA",245569,397662,grid_2000_scaled,380361,397662,253343,
56,history/states/56-State_56.txt,"Dubuque, IA",225613,343310,grid_2000_scaled,328373,343310,290009,
57,history/states/57-State_57.txt,"Waterloo, IA",226791,261474,grid_2000_scaled,250098,261474,143321,
58,history/states/58-State_58.txt,"Covington, KY",814264,880495,grid_2000_scaled,842187,880495,339178,
59,history/states/59-State_59.txt,"Indianapolis, IN",1800395,1629442,grid_2000_scaled,1558550,1629442,1601376,
60,history/states/60-State_60.txt,"Des Moines, IA",559980,579968,grid_2000_scaled,554735,579968,536512,
61,history/states/61-State_61.txt,Illinois,500,500,grid_2000_scaled,0,500,0,
62,history/states/62-State_62.txt,"Vancouver, BC",517147,855029,grid_2000_scaled,812914,855029,509129,
63,history/states/63-State_63.txt,Northern Saskatchwan,8749,8749,grid_2000_scaled+city_validation,76059,8749,10937,city_floor:8749
64,history/states/64-State_64.txt,"North Kansas City, MO",485947,485947,grid_2000_scaled+city_validation,214892,485947,607434,city_floor:485947
65,history/states/65-State_65.txt,"Rochester, MN",104853,137425,grid_2000_scaled,131446,137425,57694,
66,history/states/66-State_66.txt,"Milwaukee, WI",1382805,1821802,grid_2000_scaled,1742541,1821802,1681244,
67,history/states/67-State_67.txt,"Sioux City, IA",159832,369556,grid_2000_scaled,353477,369556,194956,
68,history/states/68-State_68.txt,"Green Bay, WI",188384,188041,grid_2000_scaled,179860,188041,172912,
69,history/states/69-State_69.txt,Ontario,11361093,11361093,grid_2000_scaled+city_validation,2515104,11361093,14201367,city_floor:11361093
70,history/states/70-State_70.txt,"Jackson, TN",899187,899187,grid_2000_scaled+city_validation,403975,899187,1123984,city_floor:899187
71,history/states/71-State_71.txt,"Land Between The Lakes, TN",28800,28800,grid_2000_scaled+city_validation,3674,28800,36000,city_floor:28800
72,history/states/72-State_72.txt,"Madison, WI",789034,856310,grid_2000_scaled,819054,856310,638953,
73,history/states/73-State_73.txt,"Lexington, KY",490620,516963,grid_2000_scaled+city_validation,292387,516963,646204,city_floor:516963
74,history/states/74-State_74.txt,"Kalamazoo, MI",251730,573137,grid_2000_scaled,548202,573137,176591,
75,history/states/75-State_75.txt,"Eau Claire, WI",339513,500632,grid_2000_scaled,478851,500632,297247,
76,history/states/76-State_76.txt,"Appleton, WI",322708,572852,grid_2000_scaled,547929,572852,401875,
77,history/states/77-State_77.txt,"Kansas City, MO",319438,271753,grid_2000_scaled,259930,271753,399298,
78,history/states/78-State_78.txt,"Tippecanoe, IN",203830,351778,grid_2000_scaled,336474,351778,184720,
79,history/states/79-State_79.txt,"Oshkosh, WI",102956,209689,grid_2000_scaled,200566,209689,86226,
80,history/states/80-State_80.txt,"Wausau, WI",68500,147158,grid_2000_scaled,140756,147158,45874,
81,history/states/81-State_81.txt,"La Crosse, WI",45155,163553,grid_2000_scaled,156438,163553,32473,
82,history/states/82-State_82.txt,"Minot, ND",75911,96702,grid_2000_scaled,92495,96702,19907,
83,history/states/83-State_83.txt,"Delaware, IN",186236,412773,grid_2000_scaled,394814,412773,177034,
84,history/states/84-State_84.txt,"Willis, ND",33587,44148,grid_2000_scaled+city_validation,22659,44148,55185,city_floor:44148
85,history/states/85-State_85.txt,"Edmonton, AB",1527159,1840193,grid_2000_scaled,1749553,1840193,1516061,
86,history/states/86-State_86.txt,"De Witt, AR",500,500,grid_2000_scaled,0,500,0,
87,history/states/87-State_87.txt,"Fargo, ND",321833,292233,grid_2000_scaled,279519,292233,247313,
88,history/states/88-State_88.txt,"Vancouver Island, BC",10000,10000,special_override,176105,10000,478683,city_floor:382946
89,history/states/89-State_89.txt,"Sioux Falls, SD",307816,234265,grid_2000_scaled,224073,234265,268238,
90,history/states/90-State_90.txt,"Chico, CA",831713,428056,grid_2000_scaled,409432,428056,689941,
91,history/states/91-State_91.txt,"Mitchell, SD",44005,71383,grid_2000_scaled,68277,71383,7345,
92,history/states/92-State_92.txt,"Vaudreuil-Soulanges, QC",117069,73937,grid_2000_scaled,70295,73937,0,
93,history/states/93-State_93.txt,"Twin Islands, NU",10000,10000,special_override,13,10000,0,
94,history/states/94-State_94.txt,"Kindersley, SK",349152,341736,grid_2000_scaled,324904,341736,405333,
95,history/states/95-State_95.txt,"Saskatoon, SK",324471,603496,grid_2000_scaled,573771,603496,309489,
96,history/states/96-State_96.txt,Guantanamo Bay,5311,5964,grid_2000_scaled,202891,5964,0,
97,history/states/97-State_97.txt,"Ann Arbor, MI",387627,788652,grid_2000_scaled,754340,788652,241100,
98,history/states/98-State_98.txt,"Brookings, SD",75118,111407,grid_2000_scaled,106560,111407,86753,
99,history/states/99-State_99.txt,"Rapid City, SD",228749,250246,grid_2000_scaled,239359,250246,144479,
100,history/states/100-State_100.txt,"Winnipeg, MB",725528,725528,grid_2000_scaled+city_validation,93383,725528,906911,city_floor:725528
101,history/states/101-State_101.txt,"Birmingham, AL",441094,514394,grid_2000_scaled,492014,514394,486499,
102,history/states/102-State_102.txt,"Dickinson, ND",98179,79502,grid_2000_scaled,76044,79502,69236,
