tno_state_id,tno_state_name,nationality_id,culture_label,culture_block
357,Connecticut,82,New Englander,New English Culture
948,Rhode Island,82,New Englander,New English Culture
949,Massachusetts,82,New Englander,New English Culture
950,Vermont,82,New Englander,New English Culture
951,New Hampshire,82,New Englander,New English Culture
952,Maine,82,New Englander,New English Culture
365,Georgia,83,Dixie,Dixie Culture - Waffle House and CFA 4 Life
367,Alabama,83,Dixie,Dixie Culture - Waffle House and CFA 4 Life
372,Arkansas,83,Dixie,Dixie Culture - Waffle House and CFA 4 Life
364,South Carolina,84,Dixie-African American,Dixie-African American
370,Mississippi,84,Dixie-African American,Dixie-African American
261,Ohio,85,Steel Belt,Steel Belt Culture
394,Wisconsin,85,Steel Belt,Steel Belt Culture
396,Indiana,85,Steel Belt,Steel Belt Culture
375,Texas,86,Texan,Texan Culture
379,Nevada,87,Frontier,Frontier Culture
381,Wyoming,87,Frontier,Frontier Culture
387,Idaho,87,Frontier,Frontier Culture
388,Montana,87,Frontier,Frontier Culture
378,California,88,Californian,Pacific Culture
768,Port of San Francisco,88,Californian,Pacific Culture
769,Port of Los Angeles,88,Californian,Pacific Culture
629,Hawaii,89,Hawaiian,Hawaiian Culture
2518,Johnston Atoll,89,Hawaiian,Hawaiian Culture
2519,Palmyra Atoll,89,Hawaiian,Hawaiian Culture
2523,Midway and Kure,89,Hawaiian,Hawaiian Culture
686,Puerto Rico,90,Boricua,Puerto Rican Culture
299,Falkand Islands,91,var_nationality.91,Falklander Culture
703,Ascension,91,var_nationality.91,Falklander Culture
720,South Georgia,91,var_nationality.91,Falklander Culture
2511,Tristan da Cunha,91,var_nationality.91,Falklander Culture
276,Central-Eastern Ontario,92,Ontarian,Ontarian Culture
682,Northern Ontario,92,Ontarian,Ontarian Culture
2468,Southwestern Ontario,92,Ontarian,Ontarian Culture
2469,Golden Horseshoe,92,Ontarian,Ontarian Culture
468,Centre-Nord-du-Quebec,93,Quebecois,Quebecois Culture
1729,Saint Pierre and Miquelon,93,Quebecois,Quebecois Culture
2465,Grand-Montreal,93,Quebecois,Quebecois Culture
2466,Saint Lawrence,93,Quebecois,Quebecois Culture
2467,Saguenay-Cote-Nord,93,Quebecois,Quebecois Culture
466,Nouveau-Quebec,94,Inuit,Inuit Culture
472,Northwest Territories,94,Inuit,Inuit Culture
2470,Canadian Arctic,94,Inuit,Inuit Culture
464,Nova Scotia,95,Maritimer,Maritimer Culture
465,New Brunswick,95,Maritimer,Maritimer Culture
730,Prince Edward Island,95,Maritimer,Maritimer Culture
308,Antigua and Barbuda,96,Antillean,Antillean Culture
900,Grenada,96,Antillean,Antillean Culture
901,Barbados,96,Antillean,Antillean Culture
902,Saint Lucia,96,Antillean,Antillean Culture
904,Anguilla,96,Antillean,Antillean Culture
907,St. Kitts and Nevis,96,Antillean,Antillean Culture
2106,U.S. Virgin Islands,96,Antillean,Antillean Culture
2444,British Virgin Islands,96,Antillean,Antillean Culture
2522,Montserrat,96,Antillean,Antillean Culture
310,Cayenne,97,Guianan,Guianan (Cayenne)
2443,Malani-Litani,97,Guianan,Guianan (Cayenne)
695,Aruba,98,Dutch-Antillean,Dutch-Caribbean Culture
2515,Curacao,98,Dutch-Antillean,Dutch-Caribbean Culture
2516,Bonaire,98,Dutch-Antillean,Dutch-Caribbean Culture
2521,Sint Maarten,98,Dutch-Antillean,Antillean Culture
689,Jamaica,99,Jamaican,Jamaican Culture
2513,Cayman Islands,99,Jamaican,Jamaican Culture
315,Pinar del Rio and Havana,100,Cuban,Cuban Culture
1236,Matanzas and Las Villas,100,Cuban,Cuban Culture
1238,Camaguey,100,Cuban,Cuban Culture
318,Port-Au-Prince,101,Haitian,Haitian Culture
1728,Nord-Ouest et Artibonite,101,Haitian,Haitian Culture
1880,Nord,101,Haitian,Haitian Culture
1881,Ouest,101,Haitian,Haitian Culture
1882,Sud,101,Haitian,Haitian Culture
319,Santo Domingo,102,Quisqueyano,Dominican Culture
