city,abbr,label,population,province_id,state_id,state_name,value,included,reason
Santiago,DO,Santiago,1343423,1346,733,"Santo Domingo, DO",42,1,quota_dense
Louisville,KY,Louisville,633045,1874,24,"Louisville, KY",33,0,pending
Brampton,ON,"Brampton, ON",656480,8619,69,Ontario,33,0,pending
Mississauga,ON,"Mississauga, ON",717961,8632,69,Ontario,33,1,quota_dense+relabel
Orange,NY,"Orange, NY",409640,285,337,"Dutchess, NY",33,0,pending
Meads,KY,Meads,288649,4193,11,"Floyd County, KY",25,1,quota_dense
Worcester,MA,"Worcester, MA",206518,3248,300,"Worchester, MA",25,0,pending
Arlington,VA,"Arlington, VA",207627,3384,424,"Fairfax, VA",25,0,pending
Ciudad Obregon,SO,"Ciudad Obregon, SO",240000,2210,553,Sonora,25,1,quota_dense
Plano,TX,"Plano, TX",285494,8749,564,"Greater Dallas-Fort Worth Area, TX",25,0,pending
St. Petersburg,FL,"St. Petersburg, FL",258308,3758,594,"Leon, FL",25,1,quota_dense
Cypress,TX,"Cypress, TX",200839,6392,611,"Houston, TX",25,0,pending
Monclova,CO,"Monclova, CO",215271,2628,615,Coahuila,25,1,quota_dense
Ciudad Acuna,CO,"Ciudad Acuna, CO",216099,6420,615,Coahuila,25,1,quota_dense
Port St. Lucie,FL,"Port St. Lucie, FL",204851,3757,627,"Miami-Dade, FL",25,1,quota_dense
Hialeah,FL,"Hialeah, FL",223109,3909,627,"Miami-Dade, FL",25,0,pending
Ciudad Benito Juarez,NL,"Ciudad Benito Juarez, NL",308285,3429,635,"Monterrey, NL",25,0,pending
Moreno Valley,CA,"Moreno Valley, CA",204198,6162,654,"Los Angeles Metro, CA",25,0,pending
Modesto,CA,"Modesto, CA",218464,2899,695,"Fresno, CA",25,0,pending
Port-de-Paix,HT,Port-de-Paix,306217,3198,729,"Nord-Oueste, HT",25,1,quota_dense
San Pedro de Macoris,DO,San Pedro de Macoris,217899,6537,733,"Santo Domingo, DO",25,0,pending
Camagueey,CU,Camagueey,347562,37,734,"Santiago de Cuba, CU",25,1,quota_dense
