state_id,state_name,category,province_count,existing_vps,proposed_new_vps,tier,quota,max_gap_px
1,British Columbia,megalopolis,40,1,0,dense,8,190.5
2,"Hot Springs, AR",town,6,0,1,medium,2,28.3
3,"Joplin, MO",town,8,1,2,medium,3,39.7
4,"Ponce, PR",city,2,1,0,dense,3,21.6
5,"Mayaguez, PR",large_town,2,1,0,sparse,1,22.5
6,Northern Alberta,large_city,151,1,3,dense,8,249.3
7,"Arecibo, PR",large_town,2,1,0,sparse,1,29.5
8,North Manitoba,city,63,0,0,dense,8,9999.0
9,Quebec,megalopolis,546,8,0,dense,8,528.5
10,Labrador,town,111,0,0,dense,8,9999.0
11,"Floyd County, KY",town,15,1,1,dense,7,81.2
12,"Newberry, MI",pastoral,5,0,0,sparse,1,9999.0
13,"Saint Ignace, MI",pastoral,2,0,0,sparse,1,9999.0
14,Central Northern Manitoba,large_city,92,0,1,dense,8,354.2
15,"Springfield, MO",city,14,1,2,dense,6,64.8
16,"Houghton, MI",rural,4,1,1,medium,2,50.8
17,"Moresby Island, BC",tiny_island,6,0,0,sparse,2,9999.0
18,"Shannon, MO",rural,6,0,1,medium,2,65.8
19,"Evansville, IN",city,6,1,0,dense,4,60.3
20,"Hopkins, KY",city,5,2,0,dense,3,35.9
21,"Bloomington, IN",large_town,8,2,0,medium,3,36.2
22,"Poplar Bluff, MO",town,12,1,1,dense,6,83.6
23,Northern British Columbia,large_city,207,4,4,dense,8,202.9
24,"Louisville, KY",large_city,7,1,1,dense,4,40.5
25,"St. Louis, MO",large_city,1,1,0,dense,3,0.0
26,World Border,wasteland,9,2,0,sparse,2,938.5
27,"Harrisonville, MO",rural,4,0,1,medium,2,44.7
28,"St. Joseph, MO",large_town,4,2,0,medium,2,36.9
29,"Adalair, MO",pastoral,12,1,2,dense,6,81.3
30,Saint-Pierre-et-Miquelon,rural,24,0,0,dense,8,9999.0
31,"Kidney Island, NU",tiny_island,1,0,0,sparse,1,9999.0
32,"Tupelo, MS",town,9,0,0,medium,3,9999.0
