lotd_stem,tno_source,skip,notes
0-Test Strategic Region,,true,Dev/test region — leave placeholder weather
38-Strategic_Region_38,,true,Empty provinces block — no geography to map
57-Strategic_Region_57,,true,Empty provinces block — no geography to map
86-Strategic_Region_86,,true,Empty provinces block — no geography to map
157-Strategic_Region_157,,true,Empty provinces block — no geography to map
30-Lake Superior,197-Great Lakes,false,Water provinces — force Great Lakes climate
31-Lake Michigan,197-Great Lakes,false,Water provinces — force Great Lakes climate
32-Lake Erie,197-Great Lakes,false,Water provinces — force Great Lakes climate
33-Lake Ontario,197-Great Lakes,false,Water provinces — force Great Lakes climate
34-Lake Huron,197-Great Lakes,false,Water provinces — force Great Lakes climate
15-East Ohio,197-Great Lakes,false,Border region — geo vote split across Great Lakes / East Coast
108-Strategic_Region_108,166-Hudson Bay,false,Hudson Bay — force TNO arctic bay weather (arctic_water=1)
